OriginASN,OriginASName,#Prefixes,%country
57293-AG Telecom LTD.,276.0,11.04
31721-"Azercell Telecom Ltd" Azerbaijan-Tu,272.0,10.88
28787-Baktelekom,243.0,9.72
29049-Delta Telecom Ltd,184,7.36
44725-Sinam LLC,181.0,7.24
39232-Uninet,140.0,5.6
15723-Azeronline Information Services,132,5.28
39280-Ultel LLC,116,4.64
39397-Az.StarNet LLC,76.0,3.04
196925-AZERTELECOM,76.0,3.04
196821-ICC of Ministry of ICT of Azerbaijan,70,2.8
50274-Alfanet LLC,68,2.72
34876-"SMART SISTEMZ TECHNOLOJI" MMM,68.0,2.72
34170-Aztelekom,62,2.48
41997-Stellford LLC.,60,2.4
197223-Eurosel LLC,36,1.44
13099-AzEuroTel J.V.,33.0,1.32
59523-CNC.AZ MMC,32.0,1.28
57304-SUPERONLAYN LTD,32,1.28
48830-TransEuroCom LLC,26,1.04
200729-AzInTelecom LLC,21,0.84
197830-BAKCELL LLC,20.0,0.8
701-MCI Communications Services Inc. d/b,18,0.72
201167-Caspian Telecom LLC,18,0.72
60258-ENGINET LLC,16,0.64
51259-Pixel LLC,16,0.64
42779-Azerfon LLC,16.0,0.64
29584-AZEDUNET LLC,16,0.64
2647-Societe Internationale de Telecommun,16,0.64
207251-CASPEL LLC,16.0,0.64
200154-IZONE LLC,16,0.64
15815-INTRA Network Systems Ltd,16,0.64
199987-AvirTel LLC,14,0.56
57675-Seabak LLC,10,0.4
199731-Internet Center of Nakhchivan Autono,9,0.36
203971-AzFiberNet Ltd.,8,0.32
196961-Teleport LLC,8.0,0.32
210293-unknown,5,0.2
9009-M247 Ltd,4,0.16
61304-Connect LLC,4,0.16
57786-Bravo Online Systems LLC,4.0,0.16
44907-Telegram Messenger LLP,4,0.16
209374-unknown,4,0.16
208439-unknown,4,0.16
205367-NetPoint LLC,4,0.16
203622-GSP LLC,4.0,0.16
49505-OOO "Network of data-centers "Select,3,0.12
3216-PJSC "Vimpelcom",2,0.08
204986-Sparktel LLC,2,0.08
198605-AVAST Software s.r.o.,2,0.08
16276-OVH SAS,2,0.08
62395-Electric Domains LTD,1,0.04
50371-Seabak LLC,1,0.04
46261-QUICKPACKET,1,0.04
44444-Forcepoint Cloud Ltd,1,0.04
36351-SoftLayer Technologies Inc.,1,0.04
34800-unknown,1,0.04
34665-"AIRABA" D.O.O. Sarajevo,1,0.04
29262-IDEAL HOSTING SUNUCU INTERNET HIZ. T,1,0.04
21769-Colocation America Corporation,1,0.04
202993-Institute of Information Technologie,1,0.04
199311-AZERTELECOM,1,0.04
18978-Enzu Inc,1,0.04
13335-Cloudflare Inc,1,0.04
13213-UK-2 Limited,1,0.04
13105-LUKOIL Technology Services GmbH,1,0.04
