Transit (row) / Origin (Column) ASN-ASNAME,99999-BF
37282-Mainone Cable Company,0.31603
29571-ORANGE COTE D'IVOIRE,0.28208
5511-Orange S.A.,0.2348
6939-Hurricane Electric Inc.,0.05567
37662-West Indian Ocean Cable Company,0.05415
328316-unknown,0.04845
3491-PCCW Global Inc.,0.04738
2914-NTT America Inc.,0.04451
3356-Level 3 Communications Inc.,0.04126
6453-TATA COMMUNICATIONS (AMERICA) INC,0.02896
174-Cogent Communications,0.02351
1299-Telia Company AB,0.02051
37721-unknown,0.01586
37163-IPSYSTEM S.A,0.01479
9498-BHARTI Airtel Ltd.,0.0026
3257-GTT Communications Inc.,0.00259
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00246
6461-Zayo Bandwidth,0.00128
37577-Orange Burkina Faso,0.00107
206610-Pindo S.a.,0.001
47973-Digital Realty Netherlands B.V.,0.00074
37008-Alink Telecom Faso,0.00074
37716-Burkina Faso Internet EXchange Point,0.00072
35280-ACORUS NETWORKS SAS,0.00056
15570-InterNAP Network Services U.K. Limit,0.00047
58057-TeleMontazh Ltd.,0.00038
6661-POST Luxembourg,0.00035
52320-GlobeNet Cabos Submarinos Colombia S,0.00035
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0003
59796-Storm Systems LLC,0.0003
37468-Angola Cables,0.00029
51531-DE-CIX Management GmbH,0.00026
8732-OJSC Comcor,0.00018
8447-A1 Telekom Austria AG,0.00018
30781-Jaguar Network SAS,0.00018
29075-Lost Oasis SARL,0.00018
28917-LLC "TRC FIORD",0.00018
20764-CJSC RASCOM,0.00018
202984-Chernyshov Aleksandr Aleksandrovich,0.00018
42-WoodyNet,0.00015
42745-Safe Value Limited,0.00014
36086-Telx,0.00013
24961-myLoc managed IT AG,0.00013
33891-Core-Backbone GmbH,0.00011
9002-RETN Limited,0.0001
99999-BF,0.0
8657-MEO - SERVICOS DE COMUNICACOES E MUL,0.0
29614-VODAFONE GHANA AS INTERNATIONAL TRAN,0.0
1273-Vodafone Group PLC,0.0
3223-Voxility S.R.L.,9e-05
1836-green.ch AG,6e-05
3303-Swisscom (Switzerland) Ltd,4e-05
13030-Init7 (Switzerland) Ltd.,4e-05
12956-Telefonica International Wholesale S,4e-05
8218-Zayo France SAS,3e-05
7473-Singapore Telecommunications Ltd,2e-05
6830-Liberty Global Operations B.V.,2e-05
4230-CLARO S.A.,2e-05
2497-Internet Initiative Japan Inc.,2e-05
15412-Reliance Globalcom Limited,2e-05
13101-ennit server GmbH,2e-05
8468-ENTANET International Limited,1e-05
7545-TPG Telecom Limited,1e-05
3320-Deutsche Telekom AG,1e-05
286-KPN B.V.,1e-05
2852-CESNET z.s.p.o.,1e-05
2603-NORDUnet,1e-05
2516-KDDI CORPORATION,1e-05
20485-Closed Joint Stock Company TransTele,1e-05
12859-BIT BV,1e-05
11164-Internet2,1e-05
