Transit (row) / Origin (Column) ASN-ASNAME,99999-BO
12956-Telefonica International Wholesale S,0.54503
12252-America Movil Peru S.A.C.,0.27028
6762-TELECOM ITALIA SPARKLE S.p.A.,0.10781
1299-Telia Company AB,0.08357
3257-GTT Communications Inc.,0.05025
2914-NTT America Inc.,0.02303
262589-INTERNEXA Brasil Operadora de Teleco,0.01654
262206-COMCEL GUATEMALA S.A.,0.00875
27839-Comteco Ltda,0.00841
25620-COTAS LTDA.,0.00513
701-MCI Communications Services Inc. d/b,0.00327
3356-Level 3 Communications Inc.,0.00271
206610-Pindo S.a.,0.00222
5511-Orange S.A.,0.00212
41095-IPTP LTD,0.00212
6568-Entel S.A. - EntelNet,0.0021
174-Cogent Communications,0.00192
3491-PCCW Global Inc.,0.0018
2647-Societe Internationale de Telecommun,0.0017
7303-Telecom Argentina S.A.,0.0014
22541-MegaLink,0.00127
28024-Nuevatel PCS de Bolivia S.A.,0.00121
26210-AXS Bolivia S. A.,0.00104
8167-Brasil Telecom S/A - Filial Distrito,0.00098
6461-Zayo Bandwidth,0.00095
268856-unknown,0.00085
10481-Prima S.A.,0.0007
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00065
33132-Fibernet Direct,0.00065
27882-TelefÃ³nica Celular de Bolivia S.A,0.00054
7738-Telemar Norte Leste S.A.,0.00047
3549-Level 3 Communications Inc.,0.00036
6939-Hurricane Electric Inc.,0.00029
53356-uniPHARM Wholesale Drugs Ltd,0.00028
267685-unknown,0.00022
263097-BRAVA TELECOMUNICAÃÃES BRASILI,0.00022
25795-ARP NETWORKS INC.,0.00016
12180-Internap Network Services Corporatio,0.00015
8551-Bezeq International-Ltd,0.00011
54540-Incero LLC,0.0001
263702-ZGLOBALHOST LTDA.,0.0001
14840-COMMCORP COMUNICACOES LTDA,0.0001
99999-BO,0.0
7473-Singapore Telecommunications Ltd,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
6079-RCN,0.0
59689-Keyade SAS,0.0
5713-Telkom SA Ltd.,0.0
43531-IX Reach Ltd,0.0
37468-Angola Cables,0.0
36236-NetActuate Inc,0.0
3320-Deutsche Telekom AG,0.0
3216-PJSC "Vimpelcom",0.0
3215-Orange S.A.,0.0
28917-LLC "TRC FIORD",0.0
27843-OPTICAL TECHNOLOGIES S.A.C.,0.0
25682-FORK SYSTEMS,0.0
22927-Telefonica de Argentina,0.0
16265-LeaseWeb Network B.V.,0.0
13101-ennit server GmbH,0.0
12874-Fastweb SpA,0.0
33597-InfoRelay Online Systems Inc.,9e-05
6830-Liberty Global Operations B.V.,7e-05
30781-Jaguar Network SAS,7e-05
286-KPN B.V.,6e-05
2497-Internet Initiative Japan Inc.,6e-05
16735-ALGAR TELECOM S/A,6e-05
12182-Internap Network Services Corporatio,6e-05
9002-RETN Limited,5e-05
7922-Comcast Cable Communications LLC,5e-05
58057-TeleMontazh Ltd.,5e-05
29838-Atlantic Metro Communications LLC,5e-05
8220-COLT Technology Services Group Limit,4e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,4e-05
58453-Level 30 Tower 1,4e-05
52320-GlobeNet Cabos Submarinos Colombia S,4e-05
51531-DE-CIX Management GmbH,4e-05
29802-HIVELOCITY VENTURES CORP,4e-05
8447-A1 Telekom Austria AG,3e-05
6661-POST Luxembourg,3e-05
4230-CLARO S.A.,3e-05
3303-Swisscom (Switzerland) Ltd,3e-05
3223-Voxility S.R.L.,3e-05
8468-ENTANET International Limited,2e-05
5400-British Telecommunications plc,2e-05
52468-UFINET PANAMA S.A.,2e-05
42-WoodyNet,2e-05
29119-ServiHosting Networks S.L.,2e-05
24961-myLoc managed IT AG,2e-05
21320-GEANT Limited,2e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
8758-Iway AG,1e-05
8732-OJSC Comcor,1e-05
8218-Zayo France SAS,1e-05
4637-Telstra Global - Customer AS Number,1e-05
36086-Telx,1e-05
35280-ACORUS NETWORKS SAS,1e-05
33891-Core-Backbone GmbH,1e-05
3267-State Institute of Information Techn,1e-05
29075-Lost Oasis SARL,1e-05
28032-INTERNEXA PERU S.A,1e-05
2603-NORDUnet,1e-05
2516-KDDI CORPORATION,1e-05
22869-CABLECOLOR S.A.,1e-05
209-Qwest Communications Company LLC,1e-05
20764-CJSC RASCOM,1e-05
20562-Broadband Hosting B.V,1e-05
18881-TELEFÃNICA BRASIL S.A,1e-05
1836-green.ch AG,1e-05
15412-Reliance Globalcom Limited,1e-05
