Transit (row) / Origin (Column) ASN-ASNAME,99999-BS
3356-Level 3 Communications Inc.,0.37182
23520-Columbus Networks USA Inc.,0.23125
3257-GTT Communications Inc.,0.19228
6830-Liberty Global Operations B.V.,0.07473
1299-Telia Company AB,0.04693
11403-NYI,0.03009
3491-PCCW Global Inc.,0.02402
6461-Zayo Bandwidth,0.01709
5511-Orange S.A.,0.01501
2647-Societe Internationale de Telecommun,0.01221
15146-Cable Bahamas,0.00659
394601-Global Nexus,0.00445
1239-Sprint,0.00378
174-Cogent Communications,0.00313
2914-NTT America Inc.,0.00245
206610-Pindo S.a.,0.00145
6762-TELECOM ITALIA SPARKLE S.p.A.,0.0014
12956-Telefonica International Wholesale S,0.00127
12180-Internap Network Services Corporatio,0.00096
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00087
3549-Level 3 Communications Inc.,0.00076
6939-Hurricane Electric Inc.,0.00075
209341-unknown,0.00075
16657-Fibertech Networks LLC,0.00075
35900-Digicel Barbados Ltd,0.00074
27947-Telconet S.A,0.00074
23352-Server Central Network,0.00074
10278-Cable & Wireless (Barbados) Limited,0.00074
52468-UFINET PANAMA S.A.,0.00073
3303-Swisscom (Switzerland) Ltd,0.00048
2828-MCI Communications Services Inc. d/b,0.00048
2516-KDDI CORPORATION,0.00048
12182-Internap Network Services Corporatio,0.00048
286-KPN B.V.,0.00047
58057-TeleMontazh Ltd.,0.0004
2497-Internet Initiative Japan Inc.,0.0004
10021-KVH Co.Ltd,0.00038
36086-Telx,0.00037
33576-ASN-Digicel,0.00037
10292-ASN-CWJAMAICA,0.00037
46887-Lightower Fiber Networks (LIGHT-141),0.00034
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00032
701-MCI Communications Services Inc. d/b,0.00028
30781-Jaguar Network SAS,0.00027
8220-COLT Technology Services Group Limit,0.00025
46786-IP Transit Inc.,0.00025
30689-FLOW,0.00025
9002-RETN Limited,0.00021
8014-Bahamas Telecommunications Corporati,0.00019
7922-Comcast Cable Communications LLC,0.00015
24961-myLoc managed IT AG,0.00014
29075-Lost Oasis SARL,0.00013
52320-GlobeNet Cabos Submarinos Colombia S,0.0001
4230-CLARO S.A.,0.0001
20764-CJSC RASCOM,0.0001
12389-PJSC Rostelecom,0.0001
99999-BS,0.0
5580-Hibernia Networks (Netherlands) BV,8e-05
30176-Priority Colo Inc,8e-05
8447-A1 Telekom Austria AG,7e-05
6661-POST Luxembourg,7e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,7e-05
1836-green.ch AG,7e-05
8732-OJSC Comcor,6e-05
21320-GEANT Limited,6e-05
13030-Init7 (Switzerland) Ltd.,6e-05
59689-Keyade SAS,5e-05
4637-Telstra Global - Customer AS Number,5e-05
396998-unknown,5e-05
27257-Webair Internet Development Company ,5e-05
25091-IP-Max SA,5e-05
3267-State Institute of Information Techn,3e-05
8758-Iway AG,2e-05
8468-ENTANET International Limited,2e-05
6777-Amsterdam Internet Exchange B.V.,2e-05
6421-TATA COMMUNICATIONS (AMERICA) INC,2e-05
6079-RCN,2e-05
35788-Forcepoint Cloud Ltd,2e-05
20485-Closed Joint Stock Company TransTele,2e-05
198385-AlpineDC SA,2e-05
1764-Next Layer Telekommunikationsdienstl,2e-05
15412-Reliance Globalcom Limited,2e-05
8455-Schuberg Philis B.V.,1e-05
7843-Time Warner Cable Internet LLC,1e-05
7545-TPG Telecom Limited,1e-05
7473-Singapore Telecommunications Ltd,1e-05
38930-LeaseWeb Network B.V.,1e-05
3320-Deutsche Telekom AG,1e-05
3216-PJSC "Vimpelcom",1e-05
28917-LLC "TRC FIORD",1e-05
2603-NORDUnet,1e-05
202984-Chernyshov Aleksandr Aleksandrovich,1e-05
20080-Florida International University,1e-05
200780-APPLIWAVE SAS,1e-05
18881-TELEFÃNICA BRASIL S.A,1e-05
1853-ACONET,1e-05
16735-ALGAR TELECOM S/A,1e-05
12859-BIT BV,1e-05
10796-Time Warner Cable Internet LLC,1e-05
10429-Telefonica Data S.A.,1e-05
