Transit (row) / Origin (Column) ASN-ASNAME,99999-BY
12406-Business Network Ltd,0.15657
60330-Belarusian Cloud Technologies JLLC,0.13656
60280-Republican Unitary Enterprise "Natio,0.11024
8359-MTS PJSC,0.10874
3356-Level 3 Communications Inc.,0.07223
12389-PJSC Rostelecom,0.06595
6697-Republican Unitary Telecommunication,0.04492
50245-Serverel Inc.,0.04461
1299-Telia Company AB,0.04186
42772-Velcom UE,0.02059
9002-RETN Limited,0.01522
60388-Limited Liability Company "Transneft,0.01474
20764-CJSC RASCOM,0.00916
3303-Swisscom (Switzerland) Ltd,0.00798
6939-Hurricane Electric Inc.,0.00632
37468-Angola Cables,0.00534
28917-LLC "TRC FIORD",0.00416
8447-A1 Telekom Austria AG,0.00402
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00401
3257-GTT Communications Inc.,0.00397
174-Cogent Communications,0.00372
206610-Pindo S.a.,0.00348
29075-Lost Oasis SARL,0.00279
30781-Jaguar Network SAS,0.00257
198385-AlpineDC SA,0.00179
8501-Institute of Bioorganic Chemistry Po,0.00169
5511-Orange S.A.,0.00168
48743-TeleSet Ltd,0.00143
20852-Velcom AZS LLC,0.00143
25106-Mobile TeleSystems JLLC,0.0014
25091-IP-Max SA,0.00138
21274-State Scientific Enterprise 'United ,0.00135
49063-Dataline Ltd,0.00118
21320-GEANT Limited,0.0008
57724-DDOS-GUARD LTD,0.00077
3267-State Institute of Information Techn,0.00064
50685-United Networks Ltd.,0.00052
2874-Equant Inc.,0.00043
2603-NORDUnet,0.00043
208722-unknown,0.00043
20804-Exatel S.A.,0.00042
20485-Closed Joint Stock Company TransTele,0.00042
8496-Optibit LLC,0.00035
2914-NTT America Inc.,0.00035
205540-Telecommunikacii PJSC,0.00031
20965-GEANT Limited,0.00029
50509-None,0.00027
28849-JSC GLOBALONEBEL,0.00027
56740-DataHata Ltd,0.00026
31500-LLC GLOBALNET,0.00021
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00018
39238-unknown,0.00018
33991-Igra-Service LLC,0.00018
6461-Zayo Bandwidth,0.00017
45177-Vibe Heavy Industries,0.00017
21305-IP TelCom,0.00016
58321-Oxylion S. A.,0.00013
24785-Broadband Hosting B.V,0.00012
15169-Google LLC,0.00011
99999-BY,0.0
9044-BSE Software GmbH,0.0
8400-TELEKOM SRBIJA a.d.,0.0
8220-COLT Technology Services Group Limit,0.0
8218-Zayo France SAS,0.0
7545-TPG Telecom Limited,0.0
7473-Singapore Telecommunications Ltd,0.0
701-MCI Communications Services Inc. d/b,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
59689-Keyade SAS,0.0
577-Bell Canada,0.0
5713-Telkom SA Ltd.,0.0
5617-Orange Polska Spolka Akcyjna,0.0
43531-IX Reach Ltd,0.0
42632-MnogoByte LLC,0.0
41327-TechInfoTel Ltd.,0.0
29226-JSC Mastertel,0.0
2852-CESNET z.s.p.o.,0.0
25478-iHome LLC,0.0
25467-Akton d.o.o.,0.0
18881-TELEFÃNICA BRASIL S.A,0.0
13193-Nerim SAS,0.0
1257-TELE2,0.0
33891-Core-Backbone GmbH,9e-05
31133-PJSC MegaFon,9e-05
21236-Additional Liability Company Aichyna,9e-05
21062-Anitex Ltd,9e-05
205820-Adelfina LLC,9e-05
20207-Gigared S.A.,9e-05
8595-OOO WestCall Ltd.,8e-05
38930-LeaseWeb Network B.V.,6e-05
15570-InterNAP Network Services U.K. Limit,6e-05
58057-TeleMontazh Ltd.,5e-05
52320-GlobeNet Cabos Submarinos Colombia S,5e-05
8455-Schuberg Philis B.V.,4e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,4e-05
31172-QFast Telecom B.V.,4e-05
11537-Internet2,4e-05
8323-Academic Computer Centre CYFRONET AG,3e-05
33922-UAB Nacionalinis Telekomunikaciju Ti,3e-05
31261-GARS Telecom - Telecommunications Ma,3e-05
20562-Broadband Hosting B.V,3e-05
13194-UAB "Bite Lietuva",3e-05
8468-ENTANET International Limited,2e-05
6661-POST Luxembourg,2e-05
4230-CLARO S.A.,2e-05
41095-IPTP LTD,2e-05
36086-Telx,2e-05
3549-Level 3 Communications Inc.,2e-05
3216-PJSC "Vimpelcom",2e-05
286-KPN B.V.,2e-05
262195-Transamerican Telecomunication S.A.,2e-05
2497-Internet Initiative Japan Inc.,2e-05
24961-myLoc managed IT AG,2e-05
15412-Reliance Globalcom Limited,2e-05
12956-Telefonica International Wholesale S,2e-05
8764-Telia Lietuva AB,1e-05
8758-Iway AG,1e-05
8732-OJSC Comcor,1e-05
7660-Asia Pacific Advanced Network - Japa,1e-05
6830-Liberty Global Operations B.V.,1e-05
59796-Storm Systems LLC,1e-05
57811-Atende Software sp. z o.o.,1e-05
47973-Digital Realty Netherlands B.V.,1e-05
47764-Limited liability company Mail.Ru,1e-05
4637-Telstra Global - Customer AS Number,1e-05
3491-PCCW Global Inc.,1e-05
34421-Telecom Media Systems JLLC,1e-05
3320-Deutsche Telekom AG,1e-05
29076-Filanco ltd.,1e-05
262589-INTERNEXA Brasil Operadora de Teleco,1e-05
2516-KDDI CORPORATION,1e-05
24753-Globecomm Europe B.V.,1e-05
22927-Telefonica de Argentina,1e-05
22388-Indiana University,1e-05
202984-Chernyshov Aleksandr Aleksandrovich,1e-05
201029-Atende Software sp. z o.o.,1e-05
196844-Institute of Bioorganic Chemistry Po,1e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,1e-05
1836-green.ch AG,1e-05
16265-LeaseWeb Network B.V.,1e-05
13030-Init7 (Switzerland) Ltd.,1e-05
1273-Vodafone Group PLC,1e-05
12578-SIA Lattelekom,1e-05
1221-Telstra Managed Network Services,1e-05
