Transit (row) / Origin (Column) ASN-ASNAME,99999-CU
11960-EMPRESA DE TELECOMUNICACIONES DE CUB,0.96374
6453-TATA COMMUNICATIONS (AMERICA) INC,0.18426
23520-Columbus Networks USA Inc.,0.10313
6762-TELECOM ITALIA SPARKLE S.p.A.,0.0678
6830-Liberty Global Operations B.V.,0.03706
5511-Orange S.A.,0.03574
60725-O3b Sales BV,0.02009
3491-PCCW Global Inc.,0.01614
2647-Societe Internationale de Telecommun,0.01349
11081-United Telecommunication Services (U,0.0106
12956-Telefonica International Wholesale S,0.00562
3356-Level 3 Communications Inc.,0.00482
6461-Zayo Bandwidth,0.00443
174-Cogent Communications,0.00354
22351-INTELSAT GLOBAL SERVICE CORPORATION,0.00307
1299-Telia Company AB,0.00226
206610-Pindo S.a.,0.00187
12180-Internap Network Services Corporatio,0.00101
12182-Internap Network Services Corporatio,0.00052
58057-TeleMontazh Ltd.,0.00044
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00035
2914-NTT America Inc.,0.00028
24961-myLoc managed IT AG,0.00015
99999-CU,0.0
7922-Comcast Cable Communications LLC,9e-05
1836-green.ch AG,7e-05
3257-GTT Communications Inc.,5e-05
9002-RETN Limited,4e-05
3549-Level 3 Communications Inc.,4e-05
13030-Init7 (Switzerland) Ltd.,4e-05
6939-Hurricane Electric Inc.,3e-05
2516-KDDI CORPORATION,2e-05
8218-Zayo France SAS,1e-05
59689-Keyade SAS,1e-05
3320-Deutsche Telekom AG,1e-05
286-KPN B.V.,1e-05
18881-TELEFÃNICA BRASIL S.A,1e-05
10429-Telefonica Data S.A.,1e-05
