Transit (row) / Origin (Column) ASN-ASNAME,99999-EC
1299-Telia Company AB,0.20298
174-Cogent Communications,0.19035
3356-Level 3 Communications Inc.,0.13782
12956-Telefonica International Wholesale S,0.12095
26613-CORPORACION NACIONAL DE TELECOMUNICA,0.07589
23520-Columbus Networks USA Inc.,0.06191
22724-PUNTONET S.A.,0.06033
27947-Telconet S.A,0.04611
23487-CONECEL,0.04566
52468-UFINET PANAMA S.A.,0.04358
6762-TELECOM ITALIA SPARKLE S.p.A.,0.03661
27919-IXP ECUADOR,0.0221
6830-Liberty Global Operations B.V.,0.02046
52320-GlobeNet Cabos Submarinos Colombia S,0.01629
263798-UFINET COLOMBIA S. A.,0.01414
1239-Sprint,0.01318
19114-Otecel S.A.,0.0089
14522-Satnet,0.00819
264668-NEDETEL S.A.,0.00764
6939-Hurricane Electric Inc.,0.00629
3549-Level 3 Communications Inc.,0.00545
3257-GTT Communications Inc.,0.00419
61468-CEDIA,0.00351
206610-Pindo S.a.,0.00297
2914-NTT America Inc.,0.00295
12252-America Movil Peru S.A.C.,0.00197
265721-Cable Atlantico SRL,0.0018
27750-CooperaciÃ³n Latino Americana de R,0.00174
60725-O3b Sales BV,0.00144
14080-Telmex Colombia S.A.,0.00143
3491-PCCW Global Inc.,0.00138
5511-Orange S.A.,0.00114
2647-Societe Internationale de Telecommun,0.0009
28006-CORPORACION NACIONAL DE TELECOMUNICA,0.00088
6461-Zayo Bandwidth,0.00069
7018-AT&T Services Inc.,0.00039
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00038
27814-Aeprovi,0.00028
267699-unknown,0.00027
264851-IFOTONCORP S.A.,0.00022
263238-Eliana Vanessa Morocho OÃ±a,0.00022
9002-RETN Limited,0.00021
11537-Internet2,0.0002
57724-DDOS-GUARD LTD,0.00016
2828-MCI Communications Services Inc. d/b,0.00014
262154-Comm & Net S.A.,0.00014
15576-NTS workspace AG,0.00013
2516-KDDI CORPORATION,0.00011
2497-Internet Initiative Japan Inc.,0.00011
20473-Choopa LLC,0.00011
20207-Gigared S.A.,0.00011
12552-IP-Only Networks AB,0.00011
7303-Telecom Argentina S.A.,0.0001
701-MCI Communications Services Inc. d/b,0.0001
99999-EC,0.0
65004-None,0.0
5713-Telkom SA Ltd.,0.0
52280-INTERNEXA Chile S.A.,0.0
4637-Telstra Global - Customer AS Number,0.0
35788-Forcepoint Cloud Ltd,0.0
35280-ACORUS NETWORKS SAS,0.0
3216-PJSC "Vimpelcom",0.0
29208-Dial Telecom a.s.,0.0
28917-LLC "TRC FIORD",0.0
2603-NORDUnet,0.0
25091-IP-Max SA,0.0
20485-Closed Joint Stock Company TransTele,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
20080-Florida International University,0.0
18678-INTERNEXA S.A. E.S.P,0.0
13101-ennit server GmbH,0.0
12874-Fastweb SpA,0.0
1273-Vodafone Group PLC,0.0
12389-PJSC Rostelecom,0.0
30781-Jaguar Network SAS,9e-05
286-KPN B.V.,9e-05
12180-Internap Network Services Corporatio,7e-05
62-CyrusOne LLC,6e-05
29802-HIVELOCITY VENTURES CORP,6e-05
29075-Lost Oasis SARL,6e-05
262215-ITELKOM,6e-05
20764-CJSC RASCOM,6e-05
11960-EMPRESA DE TELECOMUNICACIONES DE CUB,6e-05
10429-Telefonica Data S.A.,6e-05
8455-Schuberg Philis B.V.,5e-05
7545-TPG Telecom Limited,5e-05
3320-Deutsche Telekom AG,5e-05
3267-State Institute of Information Techn,5e-05
27668-ETAPA EP,5e-05
262589-INTERNEXA Brasil Operadora de Teleco,5e-05
23031-Unilink Master,5e-05
209-Qwest Communications Company LLC,5e-05
20965-GEANT Limited,5e-05
19582-GRUPO BRAVCO,5e-05
18881-TELEFÃNICA BRASIL S.A,5e-05
10834-Telefonica de Argentina,5e-05
10481-Prima S.A.,5e-05
6730-Sunrise Communications AG,4e-05
4230-CLARO S.A.,4e-05
3303-Swisscom (Switzerland) Ltd,4e-05
1853-ACONET,4e-05
1257-TELE2,4e-05
7922-Comcast Cable Communications LLC,3e-05
58057-TeleMontazh Ltd.,3e-05
262195-Transamerican Telecomunication S.A.,3e-05
22927-Telefonica de Argentina,3e-05
22388-Indiana University,3e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,3e-05
16735-ALGAR TELECOM S/A,3e-05
12182-Internap Network Services Corporatio,3e-05
8447-A1 Telekom Austria AG,2e-05
8220-COLT Technology Services Group Limit,2e-05
7660-Asia Pacific Advanced Network - Japa,2e-05
6661-POST Luxembourg,2e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,2e-05
51531-DE-CIX Management GmbH,2e-05
21320-GEANT Limited,2e-05
8758-Iway AG,1e-05
8732-OJSC Comcor,1e-05
8468-ENTANET International Limited,1e-05
8218-Zayo France SAS,1e-05
7473-Singapore Telecommunications Ltd,1e-05
59689-Keyade SAS,1e-05
5400-British Telecommunications plc,1e-05
42-WoodyNet,1e-05
41095-IPTP LTD,1e-05
36086-Telx,1e-05
33891-Core-Backbone GmbH,1e-05
3223-Voxility S.R.L.,1e-05
29119-ServiHosting Networks S.L.,1e-05
24961-myLoc managed IT AG,1e-05
20562-Broadband Hosting B.V,1e-05
1836-green.ch AG,1e-05
15412-Reliance Globalcom Limited,1e-05
13030-Init7 (Switzerland) Ltd.,1e-05
11081-United Telecommunication Services (U,1e-05
