Transit (row) / Origin (Column) ASN-ASNAME,99999-EG
8452-TE-AS,0.4388
174-Cogent Communications,0.14603
6762-TELECOM ITALIA SPARKLE S.p.A.,0.11181
24863-LINKdotNET AS number,0.10684
3257-GTT Communications Inc.,0.1048
24835-Vodafone Data - Egypt,0.08059
9498-BHARTI Airtel Ltd.,0.07941
3356-Level 3 Communications Inc.,0.05799
5511-Orange S.A.,0.03866
1273-Vodafone Group PLC,0.03796
6453-TATA COMMUNICATIONS (AMERICA) INC,0.02527
15412-Reliance Globalcom Limited,0.02253
1299-Telia Company AB,0.01023
36992-ETISALAT MISR,0.00763
6939-Hurricane Electric Inc.,0.00614
9002-RETN Limited,0.00479
206610-Pindo S.a.,0.0021
2914-NTT America Inc.,0.002
29386-Syrian Telecom,0.00064
25091-IP-Max SA,0.00057
20928-Noor Data Networks ASN,0.00055
35280-ACORUS NETWORKS SAS,0.00043
52320-GlobeNet Cabos Submarinos Colombia S,0.0003
8220-COLT Technology Services Group Limit,0.00029
8697-Jordan Telecommunications Company,0.00018
8447-A1 Telekom Austria AG,0.00015
29075-Lost Oasis SARL,0.00014
28917-LLC "TRC FIORD",0.00014
20764-CJSC RASCOM,0.00014
202984-Chernyshov Aleksandr Aleksandrovich,0.00014
20484-Yalla Online Autonomous System,0.00013
8468-ENTANET International Limited,0.00012
30781-Jaguar Network SAS,0.00012
8732-OJSC Comcor,0.00011
99999-EG,0.0
9044-BSE Software GmbH,0.0
8767-M-net Telekommunikations GmbH,0.0
8758-Iway AG,0.0
8455-Schuberg Philis B.V.,0.0
8359-MTS PJSC,0.0
8218-Zayo France SAS,0.0
7922-Comcast Cable Communications LLC,0.0
7843-Time Warner Cable Internet LLC,0.0
7660-Asia Pacific Advanced Network - Japa,0.0
7545-TPG Telecom Limited,0.0
7473-Singapore Telecommunications Ltd,0.0
701-MCI Communications Services Inc. d/b,0.0
6830-Liberty Global Operations B.V.,0.0
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0
59689-Keyade SAS,0.0
58057-TeleMontazh Ltd.,0.0
57866-Fusix Networks B.V.,0.0
5713-Telkom SA Ltd.,0.0
5580-Hibernia Networks (Netherlands) BV,0.0
51531-DE-CIX Management GmbH,0.0
4766-Korea Telecom,0.0
4651-The Communications Authority of Thai,0.0
4637-Telstra Global - Customer AS Number,0.0
43531-IX Reach Ltd,0.0
43515-Google Ireland Limited,0.0
42-WoodyNet,0.0
4230-CLARO S.A.,0.0
41095-IPTP LTD,0.0
4004-Sprint International,0.0
38930-LeaseWeb Network B.V.,0.0
37179-Africa Independent Network Exchange ,0.0
37100-SEACOM Limited,0.0
36086-Telx,0.0
3549-Level 3 Communications Inc.,0.0
33891-Core-Backbone GmbH,0.0
3320-Deutsche Telekom AG,0.0
3303-Swisscom (Switzerland) Ltd,0.0
327782-Metrofibre Networx,0.0
3216-PJSC "Vimpelcom",0.0
3215-Orange S.A.,0.0
31172-QFast Telecom B.V.,0.0
31133-PJSC MegaFon,0.0
286-KPN B.V.,0.0
2852-CESNET z.s.p.o.,0.0
2828-MCI Communications Services Inc. d/b,0.0
262589-INTERNEXA Brasil Operadora de Teleco,0.0
262195-Transamerican Telecomunication S.A.,0.0
24961-myLoc managed IT AG,0.0
24785-Broadband Hosting B.V,0.0
22927-Telefonica de Argentina,0.0
22388-Indiana University,0.0
209-Qwest Communications Company LLC,0.0
20562-Broadband Hosting B.V,0.0
20485-Closed Joint Stock Company TransTele,0.0
20080-Florida International University,0.0
20001-Time Warner Cable Internet LLC,0.0
198385-AlpineDC SA,0.0
1916-AssociaÃ§Ã£o Rede Nacional de En,0.0
18881-TELEFÃNICA BRASIL S.A,0.0
1853-ACONET,0.0
1836-green.ch AG,0.0
15570-InterNAP Network Services U.K. Limit,0.0
13101-ennit server GmbH,0.0
13030-Init7 (Switzerland) Ltd.,0.0
12956-Telefonica International Wholesale S,0.0
1257-TELE2,0.0
12389-PJSC Rostelecom,0.0
12200-Rackspace Hosting,0.0
11164-Internet2,0.0
10429-Telefonica Data S.A.,0.0
5583-Orange S.A.,9e-05
21320-GEANT Limited,9e-05
37468-Angola Cables,8e-05
16265-LeaseWeb Network B.V.,6e-05
6866-Cyprus Telecommunications Authority,5e-05
35916-MULTACOM CORPORATION,5e-05
6879-Egyptian National Scientific & Techn,4e-05
6661-POST Luxembourg,4e-05
6461-Zayo Bandwidth,4e-05
6777-Amsterdam Internet Exchange B.V.,3e-05
3267-State Institute of Information Techn,3e-05
15169-Google LLC,3e-05
11537-Internet2,3e-05
41327-TechInfoTel Ltd.,2e-05
33785-City Net Telecom,2e-05
2603-NORDUnet,2e-05
8551-Bezeq International-Ltd,1e-05
51964-Equant Inc.,1e-05
42652-inexio Informationstechnologie und T,1e-05
42649-Baffin Bay Networks AB,1e-05
37153-HETZNER (Pty) Ltd,1e-05
3491-PCCW Global Inc.,1e-05
29838-Atlantic Metro Communications LLC,1e-05
2516-KDDI CORPORATION,1e-05
2497-Internet Initiative Japan Inc.,1e-05
24778-Datapipe Europe Ltd,1e-05
23352-Server Central Network,1e-05
20965-GEANT Limited,1e-05
20207-Gigared S.A.,1e-05
135063-POP NIX COMPANY LIMITED,1e-05
