Transit (row) / Origin (Column) ASN-ASNAME,99999-ET
30990-DJIBOUTI TELECOM S.A.,0.58367
3356-Level 3 Communications Inc.,0.2775
33788-Kanar Telecommunication (Canar Telec,0.2669
174-Cogent Communications,0.12108
33771-Safaricom Limited,0.08304
15706-Sudatel Telecom Group,0.04658
6453-TATA COMMUNICATIONS (AMERICA) INC,0.02737
204523-unknown,0.01725
6939-Hurricane Electric Inc.,0.01605
6762-TELECOM ITALIA SPARKLE S.p.A.,0.0124
37100-SEACOM Limited,0.01209
5511-Orange S.A.,0.00799
39386-Saudi Telecom Company JSC,0.00513
1299-Telia Company AB,0.00152
2914-NTT America Inc.,0.00067
206610-Pindo S.a.,0.00045
3352-TELEFONICA DE ESPANA,0.00043
1267-Wind Telecomunicazioni SpA,0.00036
15570-InterNAP Network Services U.K. Limit,0.00027
8220-COLT Technology Services Group Limit,0.00025
58057-TeleMontazh Ltd.,0.00022
43531-IX Reach Ltd,0.00021
12956-Telefonica International Wholesale S,0.00021
3257-GTT Communications Inc.,0.00018
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00017
99999-ET,0.0
3216-PJSC "Vimpelcom",0.0
6461-Zayo Bandwidth,8e-05
24961-myLoc managed IT AG,8e-05
6830-Liberty Global Operations B.V.,7e-05
3741-Internet Solutions,6e-05
1836-green.ch AG,4e-05
9002-RETN Limited,3e-05
3303-Swisscom (Switzerland) Ltd,3e-05
29075-Lost Oasis SARL,3e-05
20764-CJSC RASCOM,3e-05
8218-Zayo France SAS,2e-05
7922-Comcast Cable Communications LLC,2e-05
6661-POST Luxembourg,2e-05
52320-GlobeNet Cabos Submarinos Colombia S,2e-05
3267-State Institute of Information Techn,2e-05
30781-Jaguar Network SAS,2e-05
2497-Internet Initiative Japan Inc.,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
8447-A1 Telekom Austria AG,1e-05
7545-TPG Telecom Limited,1e-05
7473-Singapore Telecommunications Ltd,1e-05
701-MCI Communications Services Inc. d/b,1e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
4230-CLARO S.A.,1e-05
37468-Angola Cables,1e-05
33891-Core-Backbone GmbH,1e-05
3320-Deutsche Telekom AG,1e-05
28917-LLC "TRC FIORD",1e-05
286-KPN B.V.,1e-05
2852-CESNET z.s.p.o.,1e-05
2603-NORDUnet,1e-05
2516-KDDI CORPORATION,1e-05
25091-IP-Max SA,1e-05
21320-GEANT Limited,1e-05
20562-Broadband Hosting B.V,1e-05
16265-LeaseWeb Network B.V.,1e-05
15412-Reliance Globalcom Limited,1e-05
13193-Nerim SAS,1e-05
12389-PJSC Rostelecom,1e-05
