Transit (row) / Origin (Column) ASN-ASNAME,99999-GE
20771-Caucasus Online Ltd.,0.26271
3356-Level 3 Communications Inc.,0.15652
174-Cogent Communications,0.11069
29049-Delta Telecom Ltd,0.0739
6762-TELECOM ITALIA SPARKLE S.p.A.,0.07293
35805-JSC "Silknet",0.05792
2914-NTT America Inc.,0.05634
12389-PJSC Rostelecom,0.05227
16010-Magticom Ltd.,0.03688
34797-System Net Ltd,0.02805
47872-Sofia Connect EAD,0.01965
31133-PJSC MegaFon,0.01449
50673-Serverius Holding B.V.,0.01044
1299-Telia Company AB,0.0091
49628-LLC Skytel,0.00803
44327-DELTA-NET LTD,0.00678
29075-Lost Oasis SARL,0.00495
6939-Hurricane Electric Inc.,0.00376
8100-QuadraNet Inc,0.00374
52320-GlobeNet Cabos Submarinos Colombia S,0.00356
8447-A1 Telekom Austria AG,0.00354
30781-Jaguar Network SAS,0.00354
202984-Chernyshov Aleksandr Aleksandrovich,0.00351
3257-GTT Communications Inc.,0.00324
5511-Orange S.A.,0.0031
20485-Closed Joint Stock Company TransTele,0.00293
20764-CJSC RASCOM,0.00224
57814-WEBCOM Ltd,0.00201
206610-Pindo S.a.,0.00147
8468-ENTANET International Limited,0.00145
57882-Network projects Ltd.,0.00134
1273-Vodafone Group PLC,0.00131
9002-RETN Limited,0.00127
6461-Zayo Bandwidth,0.00114
198385-AlpineDC SA,0.0011
9121-Turk Telekomunikasyon Anonim Sirketi,0.0009
41313-"NOVATEL" EOOD,0.0009
50257-JV A-Mobile Ltd.,0.00083
29208-Dial Telecom a.s.,0.00077
24785-Broadband Hosting B.V,0.00071
60068-Datacamp Limited,0.00067
209046-unknown,0.00067
42397-unknown,0.00066
20545-Georgian Research and Educational Ne,0.00066
41877-Railway Telecom Ltd,0.00059
3216-PJSC "Vimpelcom",0.00054
33891-Core-Backbone GmbH,0.0005
42926-Radore Veri Merkezi Hizmetleri A.S.,0.00049
20965-GEANT Limited,0.00049
8473-Bahnhof Internet AB,0.00048
12956-Telefonica International Wholesale S,0.00045
25249-Magticom Ltd.,0.00039
3491-PCCW Global Inc.,0.00038
39737-Net Vision Telecom SRL,0.00033
202-Level 3 Communications Inc.,0.00032
20562-Broadband Hosting B.V,0.00028
6830-Liberty Global Operations B.V.,0.00024
286-KPN B.V.,0.00024
9009-M247 Ltd,0.00021
50245-Serverel Inc.,0.00021
31261-GARS Telecom - Telecommunications Ma,0.0002
