Transit (row) / Origin (Column) ASN-ASNAME,99999-GN
8346-SONATEL-AS Autonomous System,0.23541
5511-Orange S.A.,0.2289
328107-GUILAB,0.22028
16637-MTN SA,0.21147
174-Cogent Communications,0.08489
3356-Level 3 Communications Inc.,0.0628
6453-TATA COMMUNICATIONS (AMERICA) INC,0.05596
2914-NTT America Inc.,0.03538
12956-Telefonica International Wholesale S,0.02003
3257-GTT Communications Inc.,0.01751
6762-TELECOM ITALIA SPARKLE S.p.A.,0.01109
6774-Belgacom International Carrier Servi,0.00839
6461-Zayo Bandwidth,0.00696
33132-Fibernet Direct,0.00571
6939-Hurricane Electric Inc.,0.00467
15570-InterNAP Network Services U.K. Limit,0.00392
1299-Telia Company AB,0.00361
58057-TeleMontazh Ltd.,0.0031
6661-POST Luxembourg,0.00274
52320-GlobeNet Cabos Submarinos Colombia S,0.0026
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00249
206610-Pindo S.a.,0.00194
29075-Lost Oasis SARL,0.00144
30781-Jaguar Network SAS,0.00137
20764-CJSC RASCOM,0.00137
8732-OJSC Comcor,0.0013
8447-A1 Telekom Austria AG,0.0013
28917-LLC "TRC FIORD",0.0013
202984-Chernyshov Aleksandr Aleksandrovich,0.0013
24961-myLoc managed IT AG,0.00109
36086-Telx,0.00058
1836-green.ch AG,0.00052
3303-Swisscom (Switzerland) Ltd,0.00038
13030-Init7 (Switzerland) Ltd.,0.00032
9002-RETN Limited,0.00022
8218-Zayo France SAS,0.00022
7922-Comcast Cable Communications LLC,0.00022
4230-CLARO S.A.,0.00014
20485-Closed Joint Stock Company TransTele,0.00011
99999-GN,0.0
8468-ENTANET International Limited,7e-05
7545-TPG Telecom Limited,7e-05
7473-Singapore Telecommunications Ltd,7e-05
6830-Liberty Global Operations B.V.,7e-05
37468-Angola Cables,7e-05
3491-PCCW Global Inc.,7e-05
33891-Core-Backbone GmbH,7e-05
3320-Deutsche Telekom AG,7e-05
286-KPN B.V.,7e-05
2852-CESNET z.s.p.o.,7e-05
2516-KDDI CORPORATION,7e-05
25091-IP-Max SA,7e-05
2497-Internet Initiative Japan Inc.,7e-05
15412-Reliance Globalcom Limited,7e-05
13193-Nerim SAS,7e-05
12859-BIT BV,7e-05
