Transit (row) / Origin (Column) ASN-ASNAME,99999-GQ
37529-Gestora de Infraestructuras de Telec,0.35006
60171-AFR-IX TELECOM S.L.,0.32946
6939-Hurricane Electric Inc.,0.19849
5511-Orange S.A.,0.1341
174-Cogent Communications,0.11503
2914-NTT America Inc.,0.04021
3257-GTT Communications Inc.,0.02337
3356-Level 3 Communications Inc.,0.02273
6461-Zayo Bandwidth,0.01271
1299-Telia Company AB,0.0098
6661-POST Luxembourg,0.00503
15570-InterNAP Network Services U.K. Limit,0.00464
52320-GlobeNet Cabos Submarinos Colombia S,0.00392
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00376
58057-TeleMontazh Ltd.,0.00368
24785-Broadband Hosting B.V,0.00363
37468-Angola Cables,0.00307
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00294
30781-Jaguar Network SAS,0.00239
29075-Lost Oasis SARL,0.00222
8732-OJSC Comcor,0.00196
8447-A1 Telekom Austria AG,0.00196
28917-LLC "TRC FIORD",0.00196
20764-CJSC RASCOM,0.00196
202984-Chernyshov Aleksandr Aleksandrovich,0.00196
3491-PCCW Global Inc.,0.0018
36086-Telx,0.00145
24961-myLoc managed IT AG,0.00129
20562-Broadband Hosting B.V,0.00096
286-KPN B.V.,0.00083
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00068
206610-Pindo S.a.,0.00063
1836-green.ch AG,0.00061
8468-ENTANET International Limited,0.00051
12956-Telefonica International Wholesale S,0.00043
13030-Init7 (Switzerland) Ltd.,0.00038
701-MCI Communications Services Inc. d/b,0.00034
8218-Zayo France SAS,0.00026
12389-PJSC Rostelecom,0.00026
6830-Liberty Global Operations B.V.,0.00017
47973-Digital Realty Netherlands B.V.,0.00017
41095-IPTP LTD,0.00017
3303-Swisscom (Switzerland) Ltd,0.00017
12859-BIT BV,0.00017
99999-GQ,0.0
3549-Level 3 Communications Inc.,9e-05
33891-Core-Backbone GmbH,9e-05
3320-Deutsche Telekom AG,9e-05
3216-PJSC "Vimpelcom",9e-05
2852-CESNET z.s.p.o.,9e-05
25091-IP-Max SA,9e-05
16265-LeaseWeb Network B.V.,9e-05
15412-Reliance Globalcom Limited,9e-05
1273-Vodafone Group PLC,4e-05
