Transit (row) / Origin (Column) ASN-ASNAME,99999-GY
174-Cogent Communications,0.52884
23520-Columbus Networks USA Inc.,0.3115
6830-Liberty Global Operations B.V.,0.06268
5639-Telecommunication Services of Trinid,0.03899
1299-Telia Company AB,0.03247
3491-PCCW Global Inc.,0.02157
5511-Orange S.A.,0.0168
33576-ASN-Digicel,0.01471
2647-Societe Internationale de Telecommun,0.0136
6461-Zayo Bandwidth,0.01294
3356-Level 3 Communications Inc.,0.01158
19863-Guyana Telephone & Telegraph Co.,0.0104
3257-GTT Communications Inc.,0.00748
2828-MCI Communications Services Inc. d/b,0.00422
22869-CABLECOLOR S.A.,0.00331
206610-Pindo S.a.,0.00328
209-Qwest Communications Company LLC,0.00303
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00283
701-MCI Communications Services Inc. d/b,0.00276
48252-Digicel AFG,0.00205
12180-Internap Network Services Corporatio,0.00205
262206-COMCEL GUATEMALA S.A.,0.00165
12956-Telefonica International Wholesale S,0.00165
33132-Fibernet Direct,0.00161
6939-Hurricane Electric Inc.,0.00114
12182-Internap Network Services Corporatio,0.00104
2914-NTT America Inc.,0.00094
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00092
58057-TeleMontazh Ltd.,0.00087
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0007
1273-Vodafone Group PLC,0.00068
3549-Level 3 Communications Inc.,0.00053
24961-myLoc managed IT AG,0.00031
7922-Comcast Cable Communications LLC,0.0003
52320-GlobeNet Cabos Submarinos Colombia S,0.00016
4230-CLARO S.A.,0.00016
36086-Telx,0.00016
2516-KDDI CORPORATION,0.00016
1836-green.ch AG,0.00015
22418-Cologuard,0.00012
1916-Associa̤̣o Rede Nacional de En,0.0001
99999-GY,0.0
13030-Init7 (Switzerland) Ltd.,9e-05
3267-State Institute of Information Techn,8e-05
29075-Lost Oasis SARL,8e-05
286-KPN B.V.,8e-05
20764-CJSC RASCOM,8e-05
1764-Next Layer Telekommunikationsdienstl,8e-05
35788-Forcepoint Cloud Ltd,4e-05
3303-Swisscom (Switzerland) Ltd,4e-05
37468-Angola Cables,2e-05
35280-ACORUS NETWORKS SAS,2e-05
3320-Deutsche Telekom AG,2e-05
22927-Telefonica de Argentina,2e-05
