Transit (row) / Origin (Column) ASN-ASNAME,99999-HN
1299-Telia Company AB,0.2914
52262-TelefÃ³nica Celular S.A,0.17267
174-Cogent Communications,0.1396
23520-Columbus Networks USA Inc.,0.11672
262206-COMCEL GUATEMALA S.A.,0.10527
22869-CABLECOLOR S.A.,0.05085
27932-Redes y Telecomunicaciones,0.03755
3356-Level 3 Communications Inc.,0.0367
12956-Telefonica International Wholesale S,0.0317
3257-GTT Communications Inc.,0.03077
701-MCI Communications Services Inc. d/b,0.02992
2914-NTT America Inc.,0.02803
52468-UFINET PANAMA S.A.,0.02541
27884-CABLECOLOR S.A.,0.02456
6830-Liberty Global Operations B.V.,0.02301
5511-Orange S.A.,0.01156
27696-Columbus Networks de Honduras S. de ,0.01099
3491-PCCW Global Inc.,0.00969
6939-Hurricane Electric Inc.,0.00873
265680-HNTELCOSA,0.0081
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00786
23383-METRORED S.A. DE C.V.,0.00771
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00667
2647-Societe Internationale de Telecommun,0.00589
32217-GPIEX INC,0.00576
206610-Pindo S.a.,0.00374
6461-Zayo Bandwidth,0.00316
14754-Telgua,0.00245
27923-TEVISAT S.A.,0.00184
263725-MULTICABLE DE HONDURAS,0.00146
394601-Global Nexus,0.00144
263686-INET Communication,0.00144
262262-METRONET,0.00144
1239-Sprint,0.00073
16657-Fibertech Networks LLC,0.00046
12180-Internap Network Services Corporatio,0.00044
2828-MCI Communications Services Inc. d/b,0.00037
7727-Hondutel,0.00036
263817-REDCA - RED CENTROAMERICANA DE TELEC,0.00036
2497-Internet Initiative Japan Inc.,0.00029
10796-Time Warner Cable Internet LLC,0.00024
12182-Internap Network Services Corporatio,0.00023
30781-Jaguar Network SAS,0.00021
46887-Lightower Fiber Networks (LIGHT-141),0.0002
58057-TeleMontazh Ltd.,0.00019
52320-GlobeNet Cabos Submarinos Colombia S,0.00019
395880-AS-BOOMERANG,0.00019
16735-ALGAR TELECOM S/A,0.00016
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00015
3790-RADIOGRAFICA COSTARRICENSE,0.00015
3303-Swisscom (Switzerland) Ltd,0.00015
3223-Voxility S.R.L.,0.00015
29075-Lost Oasis SARL,0.00013
286-KPN B.V.,0.00013
9002-RETN Limited,0.00012
7843-Time Warner Cable Internet LLC,0.00012
51531-DE-CIX Management GmbH,0.00012
12389-PJSC Rostelecom,0.00011
99999-HN,0.0
8758-Iway AG,0.0
7545-TPG Telecom Limited,0.0
38930-LeaseWeb Network B.V.,0.0
37468-Angola Cables,0.0
3320-Deutsche Telekom AG,0.0
25091-IP-Max SA,0.0
20485-Closed Joint Stock Company TransTele,0.0
200780-APPLIWAVE SAS,0.0
198385-AlpineDC SA,0.0
1764-Next Layer Telekommunikationsdienstl,0.0
15412-Reliance Globalcom Limited,0.0
265766-Block DDoS S.A.,9e-05
36086-Telx,8e-05
11830-Instituto Costarricense de Electrici,8e-05
42-WoodyNet,7e-05
2516-KDDI CORPORATION,7e-05
24961-myLoc managed IT AG,7e-05
4637-Telstra Global - Customer AS Number,6e-05
3549-Level 3 Communications Inc.,6e-05
33891-Core-Backbone GmbH,5e-05
7922-Comcast Cable Communications LLC,4e-05
4230-CLARO S.A.,4e-05
3216-PJSC "Vimpelcom",4e-05
59689-Keyade SAS,3e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,3e-05
1836-green.ch AG,3e-05
13030-Init7 (Switzerland) Ltd.,3e-05
21320-GEANT Limited,2e-05
18881-TELEFÃNICA BRASIL S.A,2e-05
8732-OJSC Comcor,1e-05
8447-A1 Telekom Austria AG,1e-05
7473-Singapore Telecommunications Ltd,1e-05
6661-POST Luxembourg,1e-05
35788-Forcepoint Cloud Ltd,1e-05
20764-CJSC RASCOM,1e-05
13101-ennit server GmbH,1e-05
10429-Telefonica Data S.A.,1e-05
