Transit (row) / Origin (Column) ASN-ASNAME,99999-HT
23520-Columbus Networks USA Inc.,0.38482
1299-Telia Company AB,0.17257
174-Cogent Communications,0.16829
33576-ASN-Digicel,0.11251
1239-Sprint,0.10796
6830-Liberty Global Operations B.V.,0.08174
6461-Zayo Bandwidth,0.04222
27759-ACCESS HAITI S.A.,0.03802
2647-Societe Internationale de Telecommun,0.03116
3491-PCCW Global Inc.,0.02372
5511-Orange S.A.,0.02034
3257-GTT Communications Inc.,0.01965
3356-Level 3 Communications Inc.,0.00744
206610-Pindo S.a.,0.00239
2914-NTT America Inc.,0.00124
12180-Internap Network Services Corporatio,0.00117
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00102
16657-Fibertech Networks LLC,0.00096
6939-Hurricane Electric Inc.,0.00066
2828-MCI Communications Services Inc. d/b,0.0006
12182-Internap Network Services Corporatio,0.0006
52260-TÃ©lÃ©communications de HaitÃ­,0.00053
58057-TeleMontazh Ltd.,0.0005
46887-Lightower Fiber Networks (LIGHT-141),0.00043
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0004
701-MCI Communications Services Inc. d/b,0.00036
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00033
51531-DE-CIX Management GmbH,0.00032
27653-Alpha Communications Network,0.00029
12956-Telefonica International Wholesale S,0.00021
42-WoodyNet,0.0002
9002-RETN Limited,0.00018
24961-myLoc managed IT AG,0.00018
33891-Core-Backbone GmbH,0.00013
3303-Swisscom (Switzerland) Ltd,0.00013
4230-CLARO S.A.,0.00012
7922-Comcast Cable Communications LLC,0.0001
99999-HT,0.0
286-KPN B.V.,8e-05
1836-green.ch AG,8e-05
29075-Lost Oasis SARL,7e-05
2516-KDDI CORPORATION,7e-05
2497-Internet Initiative Japan Inc.,7e-05
7545-TPG Telecom Limited,6e-05
7473-Singapore Telecommunications Ltd,6e-05
15412-Reliance Globalcom Limited,6e-05
13030-Init7 (Switzerland) Ltd.,5e-05
20485-Closed Joint Stock Company TransTele,3e-05
13101-ennit server GmbH,3e-05
52320-GlobeNet Cabos Submarinos Colombia S,2e-05
35788-Forcepoint Cloud Ltd,2e-05
30781-Jaguar Network SAS,2e-05
10796-Time Warner Cable Internet LLC,2e-05
7843-Time Warner Cable Internet LLC,1e-05
4637-Telstra Global - Customer AS Number,1e-05
37468-Angola Cables,1e-05
3320-Deutsche Telekom AG,1e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,1e-05
12389-PJSC Rostelecom,1e-05
