Transit (row) / Origin (Column) ASN-ASNAME,99999-JO
8697-Jordan Telecommunications Company,0.56795
5511-Orange S.A.,0.16371
59605-MENA LEVANT W.L.L,0.13604
6453-TATA COMMUNICATIONS (AMERICA) INC,0.09813
3356-Level 3 Communications Inc.,0.08949
3257-GTT Communications Inc.,0.08608
174-Cogent Communications,0.07841
48832-Linkdotnet-Jordan,0.03333
49792-IONIC SPOLKA Z OGRANICZONA ODPOWIEDZ,0.01655
12975-Palestine Telecommunications Company,0.01269
9038-Batelco Jordan,0.01265
9002-RETN Limited,0.00912
1299-Telia Company AB,0.00687
50670-VTEL HOLDINGS LIMITED/JORDAN CO.,0.00575
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00454
8376-Jordan Data Communications Company L,0.00384
47887-AL-HADATHEH LIL-ITISALAT WA AL-TECHN,0.00298
206610-Pindo S.a.,0.00236
2914-NTT America Inc.,0.002
35753-Integrated Telecom Co. Ltd,0.00116
21320-GEANT Limited,0.00097
3491-PCCW Global Inc.,0.00096
6939-Hurricane Electric Inc.,0.00082
31133-PJSC MegaFon,0.00077
15169-Google LLC,0.00075
8966-Emirates Telecommunications Corporat,0.00071
6461-Zayo Bandwidth,0.00041
2856-British Telecommunications PLC,0.00041
43531-IX Reach Ltd,0.00036
48237-Bayanat Al-Oula For Network Services,0.00034
29075-Lost Oasis SARL,0.0003
29684-Nour Communication Co.Ltd - Nournet,0.00029
5384-Emirates Telecommunications Corporat,0.00026
32787-Akamai Technologies Inc.,0.00026
15802-Emirates Integrated Telecommunicatio,0.00026
62-CyrusOne LLC,0.00024
60725-O3b Sales BV,0.00024
4657-Singapore Government Network AS,0.00024
32748-Steadfast,0.00024
208293-unknown,0.00024
43515-Google Ireland Limited,0.00018
8447-A1 Telekom Austria AG,0.00017
34984-TELLCOM ILETISIM HIZMETLERI A.S.,0.00016
15570-InterNAP Network Services U.K. Limit,0.00016
5400-British Telecommunications plc,0.00015
3910-Qwest Communications Company LLC,0.00015
35819-Bayanat Al-Oula For Network Services,0.00014
6663-Euroweb Romania S.A.,0.00013
58057-TeleMontazh Ltd.,0.00013
30781-Jaguar Network SAS,0.00013
12200-Rackspace Hosting,0.00013
8468-ENTANET International Limited,0.00012
52320-GlobeNet Cabos Submarinos Colombia S,0.00012
2603-NORDUnet,0.00012
12956-Telefonica International Wholesale S,0.00012
39386-Saudi Telecom Company JSC,0.00011
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0001
33891-Core-Backbone GmbH,0.0001
202984-Chernyshov Aleksandr Aleksandrovich,0.0001
198385-AlpineDC SA,0.0001
99999-JO,0.0
5713-Telkom SA Ltd.,0.0
3320-Deutsche Telekom AG,0.0
3216-PJSC "Vimpelcom",0.0
28917-LLC "TRC FIORD",0.0
2852-CESNET z.s.p.o.,0.0
21277-Newroz Telecom Ltd.,0.0
16265-LeaseWeb Network B.V.,0.0
209-Qwest Communications Company LLC,9e-05
4826-Vocus Communications,7e-05
4230-CLARO S.A.,7e-05
2516-KDDI CORPORATION,7e-05
2497-Internet Initiative Japan Inc.,7e-05
8220-COLT Technology Services Group Limit,6e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,6e-05
3303-Swisscom (Switzerland) Ltd,5e-05
7474-Optus Vision,4e-05
6830-Liberty Global Operations B.V.,4e-05
6661-POST Luxembourg,4e-05
3549-Level 3 Communications Inc.,4e-05
24961-myLoc managed IT AG,4e-05
13030-Init7 (Switzerland) Ltd.,4e-05
8758-Iway AG,3e-05
7473-Singapore Telecommunications Ltd,3e-05
35280-ACORUS NETWORKS SAS,3e-05
3267-State Institute of Information Techn,3e-05
20764-CJSC RASCOM,3e-05
15412-Reliance Globalcom Limited,3e-05
7922-Comcast Cable Communications LLC,2e-05
701-MCI Communications Services Inc. d/b,2e-05
59689-Keyade SAS,2e-05
36086-Telx,2e-05
286-KPN B.V.,2e-05
2828-MCI Communications Services Inc. d/b,2e-05
25091-IP-Max SA,2e-05
20562-Broadband Hosting B.V,2e-05
1836-green.ch AG,2e-05
9498-BHARTI Airtel Ltd.,1e-05
8732-OJSC Comcor,1e-05
8218-Zayo France SAS,1e-05
50597-ScopeSky Communication and Internet ,1e-05
4637-Telstra Global - Customer AS Number,1e-05
203217-Horizon Scope Mobile Telecom WLL,1e-05
18881-TELEFÃNICA BRASIL S.A,1e-05
1273-Vodafone Group PLC,1e-05
12389-PJSC Rostelecom,1e-05
