Transit (row) / Origin (Column) ASN-ASNAME,99999-KR
6939-Hurricane Electric Inc.,0.21942
3786-LG DACOM Corporation,0.15822
2914-NTT America Inc.,0.08587
9318-SK Broadband Co Ltd,0.07329
4766-Korea Telecom,0.05868
3356-Level 3 Communications Inc.,0.05422
6453-TATA COMMUNICATIONS (AMERICA) INC,0.02714
23563-Tbroad Suwon Broadcasting Corporatio,0.02645
1239-Sprint,0.01863
38091-CJ Hello Co. Ltd.,0.01193
1299-Telia Company AB,0.01099
4230-CLARO S.A.,0.00975
174-Cogent Communications,0.00918
52320-GlobeNet Cabos Submarinos Colombia S,0.00727
9848-Sejong Telecom,0.00707
9957-KINX,0.007
9002-RETN Limited,0.00676
7562-HCN Dongjak,0.00524
9457-DREAMLINE CO.,0.00388
15412-Reliance Globalcom Limited,0.00294
3303-Swisscom (Switzerland) Ltd,0.0026
11164-Internet2,0.00241
9845-CJ Hello Co. Ltd.,0.00195
10036-DLIVE,0.00174
9286-KINX,0.00173
8732-OJSC Comcor,0.00151
30781-Jaguar Network SAS,0.00124
8468-ENTANET International Limited,0.00123
8447-A1 Telekom Austria AG,0.00123
29075-Lost Oasis SARL,0.00123
28917-LLC "TRC FIORD",0.00123
25091-IP-Max SA,0.00123
202984-Chernyshov Aleksandr Aleksandrovich,0.00123
209-Qwest Communications Company LLC,0.00115
1237-KISTI,0.00115
17841-National Computing and information S,0.0011
3491-PCCW Global Inc.,0.00107
27066-DoD Network Information Center,0.00107
206610-Pindo S.a.,0.00098
35280-ACORUS NETWORKS SAS,0.00086
17857-NAKDONGDIGITALBUSANNET-AS-KR,0.00083
13030-Init7 (Switzerland) Ltd.,0.00063
38095-QRIXNETSDM-AS-KR,0.00057
721-DoD Network Information Center,0.00053
18302-SK Telecom,0.00045
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00039
10158-Kakao Corp,0.00038
3908-Qwest Communications Company LLC,0.00034
15576-NTS workspace AG,0.00031
29208-Dial Telecom a.s.,0.0003
198385-AlpineDC SA,0.0003
17579-KISTI,0.00026
9689-FCABLE-AS,0.00023
36408-CDNetworks Inc.,0.00019
23576-NBP,0.00017
2516-KDDI CORPORATION,0.00015
8220-COLT Technology Services Group Limit,0.00013
4637-Telstra Global - Customer AS Number,0.00013
5511-Orange S.A.,0.00011
4862-Orange Business,0.0001
4670-Shinbiro,0.0001
45996-DAOU TECHNOLOGY,0.0001
99999-KR,0.0
999999-unknown,0.0
9973-BSITC,0.0
9952-Hostway IDC,0.0
9929-CNCGROUP old Jitong IP network,0.0
9871-Gyeong Sang Buk-Do Office of Educati,0.0
9858-,0.0
9526-KOSCOM,0.0
9381-WTT HK Limited,0.0
9293-NTT Com Asia Limited,0.0
8966-Emirates Telecommunications Corporat,0.0
8764-Telia Lietuva AB,0.0
8763-DENIC eG,0.0
8758-Iway AG,0.0
8551-Bezeq International-Ltd,0.0
8455-Schuberg Philis B.V.,0.0
8359-MTS PJSC,0.0
8218-Zayo France SAS,0.0
7922-Comcast Cable Communications LLC,0.0
7660-Asia Pacific Advanced Network - Japa,0.0
7552-Viettel Group,0.0
7545-TPG Telecom Limited,0.0
7497-Beijing Primezone Technologies Inc.,0.0
714-Apple Inc.,0.0
703-MCI Communications Services Inc. d/b,0.0
702-MCI Communications Services Inc. d/b,0.0
6830-Liberty Global Operations B.V.,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
6730-Sunrise Communications AG,0.0
6661-POST Luxembourg,0.0
64098-IP Transit Pty Ltd,0.0
62874-Web2Objects LLC,0.0
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0
6079-RCN,0.0
59689-Keyade SAS,0.0
58057-TeleMontazh Ltd.,0.0
57866-Fusix Networks B.V.,0.0
57724-DDOS-GUARD LTD,0.0
57717-FiberXpress BV,0.0
5713-Telkom SA Ltd.,0.0
56611-REBA Communications BV,0.0
55933-Pang International Limited-AS number,0.0
55805-MobiCom Corporation,0.0
55720-Gigabit Hosting Sdn Bhd,0.0
5539-SpaceNet AG,0.0
5400-British Telecommunications plc,0.0
51531-DE-CIX Management GmbH,0.0
49832-FotoLab Ltd,0.0
49666-Telecommunication Infrastructure Com,0.0
48858-LLC Milecom,0.0
4847-China Networks Inter-Exchange,0.0
48159-Telecommunication Infrastructure Com,0.0
4755-Tata Communications,0.0
4713-NTT Communications Corporation,0.0
4694-Yahoo Japan Corporation,0.0
4635-The Hong Kong Internet Exchange Limi,0.0
45474-Suite 2101~02 21/F Tower 2 Nina Towe,0.0
45430-Advance Datanetwork Communications C,0.0
4538-China Education and Research Network,0.0
45370-BROADBANDIDC,0.0
44217-IQ Networks,0.0
43754-Asiatech Data Transfer Inc PLC,0.0
42-WoodyNet,0.0
42708-Portlane AB,0.0
41689-Asiatech Data Transfer Inc PLC,0.0
4134-No.31Jin-rong Street,0.0
41327-TechInfoTel Ltd.,0.0
41095-IPTP LTD,0.0
41032-IQ Networks,0.0
40676-Psychz Networks,0.0
40065-CNSERVERS LLC,0.0
38930-LeaseWeb Network B.V.,0.0
38623-ISP/IXP IN CAMBODIA WITH THE BEST VE,0.0
38561-Domestic-ASN,0.0
38195-SUPERLOOP (AUSTRALIA) PTY LTD,0.0
37468-Angola Cables,0.0
3741-Internet Solutions,0.0
