Transit (row) / Origin (Column) ASN-ASNAME,99999-LU
5400-British Telecommunications plc,0.30632
6661-POST Luxembourg,0.11066
6939-Hurricane Electric Inc.,0.08211
3356-Level 3 Communications Inc.,0.07144
174-Cogent Communications,0.04688
1299-Telia Company AB,0.03182
5511-Orange S.A.,0.01352
2914-NTT America Inc.,0.01325
6848-Telenet BVBA,0.01237
46786-IP Transit Inc.,0.01138
5583-Orange S.A.,0.0111
24611-Datacenter Luxembourg S.A.,0.01012
3320-Deutsche Telekom AG,0.00931
56665-Tango S.A.,0.00916
3491-PCCW Global Inc.,0.0074
21320-GEANT Limited,0.00703
6830-Liberty Global Operations B.V.,0.00565
15965-CEGECOM S.A.,0.00476
52320-GlobeNet Cabos Submarinos Colombia S,0.00439
29467-LUXNETWORK S.A.,0.00409
199524-G-Core Labs S.A.,0.00408
20965-GEANT Limited,0.00406
6453-TATA COMMUNICATIONS (AMERICA) INC,0.0035
9002-RETN Limited,0.00335
3257-GTT Communications Inc.,0.00311
6774-Belgacom International Carrier Servi,0.00266
20764-CJSC RASCOM,0.00263
3303-Swisscom (Switzerland) Ltd,0.00246
286-KPN B.V.,0.0022
206610-Pindo S.a.,0.0021
5577-root SA,0.00209
8218-Zayo France SAS,0.00197
202-Level 3 Communications Inc.,0.00182
2497-Internet Initiative Japan Inc.,0.00165
42525-GlobalConnect A/S,0.00149
12389-PJSC Rostelecom,0.00141
25091-IP-Max SA,0.00137
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00135
47377-Orange Belgium SA,0.00131
202984-Chernyshov Aleksandr Aleksandrovich,0.00125
33891-Core-Backbone GmbH,0.00124
702-MCI Communications Services Inc. d/b,0.00108
3267-State Institute of Information Techn,0.00107
8220-COLT Technology Services Group Limit,0.00105
35280-ACORUS NETWORKS SAS,0.00102
6461-Zayo Bandwidth,0.00101
35916-MULTACOM CORPORATION,0.00101
8551-Bezeq International-Ltd,0.00099
28917-LLC "TRC FIORD",0.00098
3216-PJSC "Vimpelcom",0.00094
42652-inexio Informationstechnologie und T,0.00085
30990-DJIBOUTI TELECOM S.A.,0.00085
31216-BSO Network Solutions SAS,0.0008
8732-OJSC Comcor,0.00079
395880-AS-BOOMERANG,0.00079
9063-VSE NET GmbH,0.00075
7713-PT Telekomunikasi Indonesia,0.00073
16866-Columbia Networks Inc.,0.00069
59507-terralink networks GmbH,0.00068
18229-CtrlS Datacenters Ltd.,0.00068
8607-Timico Limited,0.00067
12189-PhoenixNAP LLC,0.00067
11537-Internet2,0.00067
13030-Init7 (Switzerland) Ltd.,0.00064
50673-Serverius Holding B.V.,0.00063
197692-Conostix S.A.,0.00063
8468-ENTANET International Limited,0.00061
20485-Closed Joint Stock Company TransTele,0.00056
15169-Google LLC,0.00053
9008-Visual Online S.A.,0.00052
59469-Solido Networks ApS,0.00051
13002-Linkey Ltd,0.0005
9498-BHARTI Airtel Ltd.,0.00043
6777-Amsterdam Internet Exchange B.V.,0.00043
2516-KDDI CORPORATION,0.00042
43531-IX Reach Ltd,0.00041
37468-Angola Cables,0.00039
50309-ARCADIZ TELECOM NV,0.00037
7545-TPG Telecom Limited,0.00035
8767-M-net Telekommunikations GmbH,0.00034
8075-Microsoft Corporation,0.00034
133296-Web Werks India Pvt. Ltd.,0.00034
12552-IP-Only Networks AB,0.00034
1273-Vodafone Group PLC,0.00033
4230-CLARO S.A.,0.00032
7473-Singapore Telecommunications Ltd,0.00031
12956-Telefonica International Wholesale S,0.00029
3910-Qwest Communications Company LLC,0.00028
3549-Level 3 Communications Inc.,0.00026
7922-Comcast Cable Communications LLC,0.00025
2603-NORDUnet,0.00025
8359-MTS PJSC,0.00024
22388-Indiana University,0.00022
202660-"Uzbektelekom" Joint Stock Company,0.00021
4637-Telstra Global - Customer AS Number,0.00019
42240-Variti International GmbH,0.00019
37100-SEACOM Limited,0.00018
21413-Envia Tel GmbH,0.00018
8544-Primetel PLC,0.00017
8190-MDNX Internet Limited,0.00017
7660-Asia Pacific Advanced Network - Japa,0.00017
62955-eBay Inc,0.00017
59872-Rafta Solutions S.A.,0.00017
5588-T-Mobile Czech Republic a.s.,0.00017
5555-Sohonet Limited,0.00017
51405-voipGATE S.A.,0.00017
50020-RACCOM JSC,0.00017
47536-Global IP Exchange,0.00017
44395-Ucom LLC,0.00017
38930-LeaseWeb Network B.V.,0.00017
34655-DuoDecad IT Services Luxembourg S.a ,0.00017
32787-Akamai Technologies Inc.,0.00017
31529-DENIC eG,0.00017
16095-JAYNET A/S,0.00017
15994-VIPnet d.o.o.,0.00017
12731-IPHH Internet Port Hamburg GmbH,0.00017
12684-SES ASTRA S.A.,0.00017
15932-Telenor Global Services AS,0.00016
4755-Tata Communications,0.00015
13786-Code & Theory LLC.,0.00015
16265-LeaseWeb Network B.V.,0.00014
59689-Keyade SAS,0.00013
43515-Google Ireland Limited,0.00013
34224-Neterra Ltd.,0.00013
265766-Block DDoS S.A.,0.00013
701-MCI Communications Services Inc. d/b,0.00012
6663-Euroweb Romania S.A.,0.00012
5580-Hibernia Networks (Netherlands) BV,0.00012
31133-PJSC MegaFon,0.00012
1916-AssociaÃ§Ã£o Rede Nacional de En,0.00012
13088-ASSOCIATED DEXIA TECHNOLOGY SERVICES,0.00012
8193-"Uzbektelekom" Joint Stock Company,0.00011
30781-Jaguar Network SAS,0.00011
29075-Lost Oasis SARL,0.00011
2828-MCI Communications Services Inc. d/b,0.00011
8758-Iway AG,0.0001
8368-Destiny N.V,0.0001
5488-Proximus NV,0.0001
99999-LU,0.0
8763-DENIC eG,0.0
8449-"ElCat" Ltd.,0.0
7195-Telecorp Colombia S.A.,0.0
6730-Sunrise Communications AG,0.0
6697-Republican Unitary Telecommunication,0.0
63119-netirons,0.0
60299-Mezhdugorodnyaya Mezhdunarodnaya Tel,0.0
5713-Telkom SA Ltd.,0.0
49964-VERIXI SPRL,0.0
4817-TPG Telecom Limited,0.0
4713-NTT Communications Corporation,0.0
44530-HOPUS SAS,0.0
41564-Packet Exchange Limited,0.0
37662-West Indian Ocean Cable Company,0.0
35168-TNS-Plus LLP,0.0
31500-LLC GLOBALNET,0.0
22548-NÃºcleo de Inf. e Coord. do Ponto ,0.0
20647-IPB Internet Provider in Berlin GmbH,0.0
16735-ALGAR TELECOM S/A,0.0
15808-ACCESSKENYA GROUP LTD is an ISP serv,0.0
15703-True B.V.,0.0
12714-Net By Net Holding LLC,0.0
10026-Pacnet MY,0.0
58057-TeleMontazh Ltd.,9e-05
3223-Voxility S.R.L.,9e-05
209-Qwest Communications Company LLC,9e-05
197264-Telecom Luxembourg Private Operator ,9e-05
8932-Ucom LLC,8e-05
29838-Atlantic Metro Communications LLC,8e-05
198385-AlpineDC SA,8e-05
1853-ACONET,8e-05
18101-BSES TeleCom Limited,8e-05
16164-Sohonet Limited,8e-05
8943-Jump Networks Ltd,7e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,7e-05
41095-IPTP LTD,7e-05
3790-RADIOGRAFICA COSTARRICENSE,7e-05
35238-Alsace Connexia,7e-05
34250-"Uzbektelecom" Joint-Stock Company,7e-05
3292-TDC A/S,7e-05
29208-Dial Telecom a.s.,7e-05
13237-euNetworks Managed Services GmbH,7e-05
59613-Ukrainian Backbone Networks LLC,6e-05
31424-nexellent ag,6e-05
15576-NTS workspace AG,6e-05
1221-Telstra Managed Network Services,6e-05
11164-Internet2,6e-05
8966-Emirates Telecommunications Corporat,5e-05
5432-Proximus NV,5e-05
28910-"Uzbektelekom" Joint Stock Company,5e-05
1764-Next Layer Telekommunikationsdienstl,5e-05
8447-A1 Telekom Austria AG,4e-05
7474-Optus Vision,4e-05
58453-Level 30 Tower 1,4e-05
47965-Signalhorn Trusted Networks GmbH,4e-05
200780-APPLIWAVE SAS,4e-05
16360-Signalhorn Trusted Networks GmbH,4e-05
15412-Reliance Globalcom Limited,4e-05
11830-Instituto Costarricense de Electrici,4e-05
25273-Broadcasting Center Europe (an RTL G,3e-05
24961-myLoc managed IT AG,3e-05
21343-"Allied Standart Limited" LLC,3e-05
20562-Broadband Hosting B.V,3e-05
15557-SFR SA,3e-05
1257-TELE2,3e-05
9957-KINX,2e-05
8708-RCS & RDS SA,2e-05
7018-AT&T Services Inc.,2e-05
6696-VERIXI SPRL,2e-05
47123-TI Sparkle Turkey Telekomunukasyon A,2e-05
41327-TechInfoTel Ltd.,2e-05
36086-Telx,2e-05
28907-Internet Invest Ltd.,2e-05
21385-Trusted Network GmbH,2e-05
202422-unknown,2e-05
1836-green.ch AG,2e-05
136620-VMHaus Limited,2e-05
12874-Fastweb SpA,2e-05
9286-KINX,1e-05
9049-JSC "ER-Telecom Holding",1e-05
8985-JSC Center of Network Cooperation "M,1e-05
8674-NETNOD Internet Exchange i Sverige A,1e-05
8455-Schuberg Philis B.V.,1e-05
7029-Windstream Communications LLC,1e-05
64432-Variti LLC,1e-05
6079-RCN,1e-05
55410-C48 Okhla Industrial Estate New Delh,1e-05
4766-Korea Telecom,1e-05
43727-KVANT-TELEKOM Closed Joint Stock Com,1e-05
39540-CommunityRack.org Verein,1e-05
38561-Domestic-ASN,1e-05
3326-PRIVATE JOINT STOCK COMPANY "DATAGRO,1e-05
20676-QSC AG,1e-05
205103-Telegraph 42 Management GmbH,1e-05
20080-Florida International University,1e-05
18881-TELEFÃNICA BRASIL S.A,1e-05
12859-BIT BV,1e-05
12306-Plus.line AG,1e-05
12180-Internap Network Services Corporatio,1e-05
10429-Telefonica Data S.A.,1e-05
