Transit (row) / Origin (Column) ASN-ASNAME,99999-MK
1299-Telia Company AB,0.1983
12713-OTEGlobe - OTE Global Solutions SA,0.19649
43612-Company for communications services ,0.13803
41313-"NOVATEL" EOOD,0.11468
8447-A1 Telekom Austria AG,0.09672
6821-Makedonski Telekom AD-Skopje,0.06868
34772-NEOTEL DOO export-import Skopje,0.06307
174-Cogent Communications,0.0386
3356-Level 3 Communications Inc.,0.02139
34547-TELESMART TELEKOM DOO,0.01586
5603-Telekom Slovenije d.d.,0.01538
3320-Deutsche Telekom AG,0.0093
44224-Macedonian Academic Research Network,0.00785
57344-Telehouse EAD,0.00751
47872-Sofia Connect EAD,0.00705
5511-Orange S.A.,0.00654
33891-Core-Backbone GmbH,0.00539
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00534
2914-NTT America Inc.,0.00502
21320-GEANT Limited,0.00435
206610-Pindo S.a.,0.00415
25467-Akton d.o.o.,0.00405
3257-GTT Communications Inc.,0.00401
1764-Next Layer Telekommunikationsdienstl,0.004
6939-Hurricane Electric Inc.,0.00396
10282-GLOBAL ONE,0.00392
1273-Vodafone Group PLC,0.00289
200899-INTERSPACE DOOEL Skopje,0.00249
52320-GlobeNet Cabos Submarinos Colombia S,0.00231
48057-Company for interactive technologies,0.00224
34224-Neterra Ltd.,0.00221
6663-Euroweb Romania S.A.,0.00217
8218-Zayo France SAS,0.00216
41557-Trgovsko radiodifuzno drustvo kablov,0.00186
29551-Aixit GmbH,0.00171
20764-CJSC RASCOM,0.0015
3303-Swisscom (Switzerland) Ltd,0.00149
8359-MTS PJSC,0.00147
8468-ENTANET International Limited,0.00136
9002-RETN Limited,0.00114
2603-NORDUnet,0.00079
28917-LLC "TRC FIORD",0.00062
20965-GEANT Limited,0.00053
8400-TELEKOM SRBIJA a.d.,0.00051
15994-VIPnet d.o.o.,0.00049
12552-IP-Only Networks AB,0.00049
202701-Michael Kloos,0.00048
3223-Voxility S.R.L.,0.00044
51765-Oy Creanova Hosting Solutions Ltd.,0.00024
36086-Telx,0.00024
199524-G-Core Labs S.A.,0.00024
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00023
44814-"Bulgartel" EAD,0.00023
6461-Zayo Bandwidth,0.00022
3491-PCCW Global Inc.,0.00016
15570-InterNAP Network Services U.K. Limit,0.00016
58057-TeleMontazh Ltd.,0.00013
31172-QFast Telecom B.V.,0.00012
8455-Schuberg Philis B.V.,0.0001
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0001
99999-MK,0.0
41095-IPTP LTD,0.0
2852-CESNET z.s.p.o.,0.0
198385-AlpineDC SA,0.0
15576-NTS workspace AG,0.0
136620-VMHaus Limited,0.0
20485-Closed Joint Stock Company TransTele,9e-05
12303-Council of Hungarian Internet Provid,9e-05
11537-Internet2,8e-05
41059-"NOVATEL" EOOD,7e-05
12306-Plus.line AG,7e-05
59900-Balkan Internet Exchange Ltd,6e-05
29075-Lost Oasis SARL,5e-05
24785-Broadband Hosting B.V,5e-05
12302-Vodafone Romania S.A.,5e-05
6661-POST Luxembourg,4e-05
3267-State Institute of Information Techn,4e-05
30781-Jaguar Network SAS,4e-05
25091-IP-Max SA,4e-05
24961-myLoc managed IT AG,4e-05
12305-G9Telecom S.A.,4e-05
6777-Amsterdam Internet Exchange B.V.,3e-05
22388-Indiana University,3e-05
13101-ennit server GmbH,3e-05
1239-Sprint,3e-05
12389-PJSC Rostelecom,3e-05
12301-Invitech Megoldasok Zrt.,3e-05
8732-OJSC Comcor,2e-05
7660-Asia Pacific Advanced Network - Japa,2e-05
6830-Liberty Global Operations B.V.,2e-05
4230-CLARO S.A.,2e-05
2516-KDDI CORPORATION,2e-05
1836-green.ch AG,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
12956-Telefonica International Wholesale S,2e-05
12304-A.I.Alikhanyan National Science Labo,2e-05
38930-LeaseWeb Network B.V.,1e-05
286-KPN B.V.,1e-05
2497-Internet Initiative Japan Inc.,1e-05
20562-Broadband Hosting B.V,1e-05
202984-Chernyshov Aleksandr Aleksandrovich,1e-05
200780-APPLIWAVE SAS,1e-05
16265-LeaseWeb Network B.V.,1e-05
15412-Reliance Globalcom Limited,1e-05
