Transit (row) / Origin (Column) ASN-ASNAME,99999-MM
45558-Myanma Posts and Telecommunications,0.31618
6939-Hurricane Electric Inc.,0.13632
4651-The Communications Authority of Thai,0.13614
15932-Telenor Global Services AS,0.06678
132167-OOREDOO MYANMAR,0.05573
7552-Viettel Group,0.05434
132876-Symphony Communication (Thailand) PC,0.05099
131322-Yatanarpon Teleport Company Limited,0.04994
2914-NTT America Inc.,0.04828
136168-Campana MYTHIC Co. Ltd.,0.04533
136255-Myanmar National Tele & Communicatio,0.04048
38082-True International Gateway Co. Ltd.,0.03022
4788-Telekom Malaysia Access Point Servic,0.03005
133385-Telenor Myanmar,0.02668
136975-Global Technology,0.02635
133524-Global Technology Co. Ltd.,0.02364
9304-Hutchison Global Communications,0.02053
6762-TELECOM ITALIA SPARKLE S.p.A.,0.02045
5511-Orange S.A.,0.01888
4862-Orange Business,0.01665
45430-Advance Datanetwork Communications C,0.01628
1299-Telia Company AB,0.01626
6453-TATA COMMUNICATIONS (AMERICA) INC,0.01354
45796-UIH / BB Broadband,0.013
58952-Frontiir Co. Ltd,0.01291
134739-AGB Communication Co.Ltd,0.01288
135307-Golden TMH Telecom Co. Ltd,0.01084
7473-Singapore Telecommunications Ltd,0.01061
58453-Level 30 Tower 1,0.01061
15412-Reliance Globalcom Limited,0.01002
174-Cogent Communications,0.00817
3491-PCCW Global Inc.,0.00739
6461-Zayo Bandwidth,0.00547
135433-KBZ Gateway Company Ltd,0.0052
63998-Kinetic Myanmar Technology,0.00495
136480-Myanmar Unilink Communication Compan,0.00416
134736-NTT Communications (Thailand) Co. Lt,0.00416
3356-Level 3 Communications Inc.,0.00392
4637-Telstra Global - Customer AS Number,0.00344
4657-Singapore Government Network AS,0.00335
9505-Data Communication Business Group,0.00329
1273-Vodafone Group PLC,0.00325
45629-JasTel Network International Gateway,0.00265
135371-Fortune International Ltd.,0.00223
29802-HIVELOCITY VENTURES CORP,0.00198
3257-GTT Communications Inc.,0.00161
15169-Google LLC,0.00136
4809-China Telecom Next Generation Carrie,0.00111
32097-WholeSale Internet Inc.,0.00104
137893-unknown,0.00102
135300-Myanmar Broadband Telecom Co. Ltd,0.00102
24482-SG.GS,0.00101
137826-unknown,0.00101
60068-Datacamp Limited,0.00099
32748-Steadfast,0.00099
2516-KDDI CORPORATION,0.00083
1221-Telstra Managed Network Services,0.00074
15570-InterNAP Network Services U.K. Limit,0.00066
136800-ICIDC NETWORK,0.00063
206610-Pindo S.a.,0.0006
58057-TeleMontazh Ltd.,0.00053
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00042
8468-ENTANET International Limited,0.00037
8447-A1 Telekom Austria AG,0.00034
3267-State Institute of Information Techn,0.00034
28917-LLC "TRC FIORD",0.00034
3786-LG DACOM Corporation,0.00033
2497-Internet Initiative Japan Inc.,0.00033
64050-BGPNET Global ASN,0.00032
29075-Lost Oasis SARL,0.00031
8218-Zayo France SAS,0.00028
9002-RETN Limited,0.00027
6661-POST Luxembourg,0.00027
36086-Telx,0.00027
20764-CJSC RASCOM,0.00026
22351-INTELSAT GLOBAL SERVICE CORPORATION,0.00024
35280-ACORUS NETWORKS SAS,0.00023
4766-Korea Telecom,0.00022
41327-TechInfoTel Ltd.,0.00021
24961-myLoc managed IT AG,0.00018
3549-Level 3 Communications Inc.,0.00017
703-MCI Communications Services Inc. d/b,0.00015
4230-CLARO S.A.,0.00015
13030-Init7 (Switzerland) Ltd.,0.00013
4713-NTT Communications Corporation,0.00012
52320-GlobeNet Cabos Submarinos Colombia S,0.00011
209-Qwest Communications Company LLC,0.0001
1916-AssociaÃ§Ã£o Rede Nacional de En,0.0001
99999-MM,0.0
59318-SINET Cambodia's specialist Internet,0.0
30781-Jaguar Network SAS,9e-05
1836-green.ch AG,9e-05
8758-Iway AG,7e-05
6830-Liberty Global Operations B.V.,7e-05
3303-Swisscom (Switzerland) Ltd,7e-05
20562-Broadband Hosting B.V,7e-05
30362-Hawaii Pacific Teleport LP,6e-05
24490-CERNET2 IX at Peking University,6e-05
7474-Optus Vision,5e-05
25091-IP-Max SA,5e-05
202984-Chernyshov Aleksandr Aleksandrovich,5e-05
6777-Amsterdam Internet Exchange B.V.,4e-05
132132-MyRepublic Ltd.,4e-05
20965-GEANT Limited,3e-05
10099-China Unicom Global,3e-05
8220-COLT Technology Services Group Limit,2e-05
54540-Incero LLC,2e-05
3320-Deutsche Telekom AG,2e-05
21320-GEANT Limited,2e-05
18881-TELEFÃNICA BRASIL S.A,2e-05
9929-CNCGROUP old Jitong IP network,1e-05
59689-Keyade SAS,1e-05
57740-Hermes Datacommunications Internatio,1e-05
5713-Telkom SA Ltd.,1e-05
55559-Cambodia DIX(Domestic Internet eXcha,1e-05
55329-Telcotech Ltd.,1e-05
4922-Shentel Communications LLC,1e-05
43531-IX Reach Ltd,1e-05
4134-No.31Jin-rong Street,1e-05
37468-Angola Cables,1e-05
36149-Hawaiian Telcom Services Company Inc,1e-05
33891-Core-Backbone GmbH,1e-05
3216-PJSC "Vimpelcom",1e-05
2852-CESNET z.s.p.o.,1e-05
2603-NORDUnet,1e-05
24492-WiCAM Corporation LTD,1e-05
19036-Telesat Network Services Inc,1e-05
13193-Nerim SAS,1e-05
12956-Telefonica International Wholesale S,1e-05
1239-Sprint,1e-05
11537-Internet2,1e-05
