Transit (row) / Origin (Column) ASN-ASNAME,99999-MN
45204-GEMNET LLC,0.46068
139089-unknown,0.15654
55805-MobiCom Corporation,0.14388
1299-Telia Company AB,0.11521
20485-Closed Joint Stock Company TransTele,0.10831
3491-PCCW Global Inc.,0.08224
12389-PJSC Rostelecom,0.05829
3356-Level 3 Communications Inc.,0.05578
2914-NTT America Inc.,0.03554
58439-ICNC LLC,0.03553
5511-Orange S.A.,0.0194
4862-Orange Business,0.01667
9934-Mongolia Telecom,0.01665
24559-G-Mobile Corporation,0.00518
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00456
6939-Hurricane Electric Inc.,0.0035
4657-Singapore Government Network AS,0.00325
9484-Mobinet LLC. AS Mobinet Internet Ser,0.0023
3303-Swisscom (Switzerland) Ltd,0.00202
6461-Zayo Bandwidth,0.00185
3257-GTT Communications Inc.,0.00163
45237-Bodicom ISP Ulaanbaatar,0.00155
174-Cogent Communications,0.00147
4637-Telstra Global - Customer AS Number,0.00136
10099-China Unicom Global,0.00129
58453-Level 30 Tower 1,0.00123
60068-Datacamp Limited,0.00102
32748-Steadfast,0.00102
17882-The first E-commerce and TriplePlay ,0.00102
58598-Mongolia,0.00101
5666-Harris CapRock Communications Inc.,0.00101
56301-National Data Center building,0.00101
22351-INTELSAT GLOBAL SERVICE CORPORATION,0.00101
206610-Pindo S.a.,0.00098
15570-InterNAP Network Services U.K. Limit,0.00068
7473-Singapore Telecommunications Ltd,0.00063
52320-GlobeNet Cabos Submarinos Colombia S,0.00061
2497-Internet Initiative Japan Inc.,0.0006
38001-NewMedia Express Pte Ltd,0.00054
58057-TeleMontazh Ltd.,0.00053
13030-Init7 (Switzerland) Ltd.,0.00053
4913-Harris CapRock Communications Inc.,0.0005
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00043
29075-Lost Oasis SARL,0.00041
6453-TATA COMMUNICATIONS (AMERICA) INC,0.0004
8447-A1 Telekom Austria AG,0.00033
2516-KDDI CORPORATION,0.00032
30781-Jaguar Network SAS,0.00031
20764-CJSC RASCOM,0.00031
8732-OJSC Comcor,0.0003
8468-ENTANET International Limited,0.0003
6079-RCN,0.0003
28917-LLC "TRC FIORD",0.0003
202984-Chernyshov Aleksandr Aleksandrovich,0.0003
703-MCI Communications Services Inc. d/b,0.00021
36086-Telx,0.00021
24961-myLoc managed IT AG,0.00019
25091-IP-Max SA,0.00015
9789-Datacom Co.Ltd,0.00011
4713-NTT Communications Corporation,0.0001
29208-Dial Telecom a.s.,0.0001
198385-AlpineDC SA,0.0001
1836-green.ch AG,0.0001
12859-BIT BV,0.0001
99999-MN,0.0
10109-Topica LLC Internet Service Provider,9e-05
33891-Core-Backbone GmbH,6e-05
7474-Optus Vision,5e-05
6661-POST Luxembourg,5e-05
8220-COLT Technology Services Group Limit,4e-05
8218-Zayo France SAS,4e-05
9002-RETN Limited,3e-05
12956-Telefonica International Wholesale S,3e-05
701-MCI Communications Services Inc. d/b,1e-05
6830-Liberty Global Operations B.V.,1e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
59689-Keyade SAS,1e-05
43531-IX Reach Ltd,1e-05
41327-TechInfoTel Ltd.,1e-05
38220-www.amaze.com.au,1e-05
37468-Angola Cables,1e-05
35280-ACORUS NETWORKS SAS,1e-05
3320-Deutsche Telekom AG,1e-05
3267-State Institute of Information Techn,1e-05
31133-PJSC MegaFon,1e-05
286-KPN B.V.,1e-05
2852-CESNET z.s.p.o.,1e-05
2603-NORDUnet,1e-05
21320-GEANT Limited,1e-05
1916-Associa̤̣o Rede Nacional de En,1e-05
13193-Nerim SAS,1e-05
1273-Vodafone Group PLC,1e-05
1221-Telstra Managed Network Services,1e-05
