Transit (row) / Origin (Column) ASN-ASNAME,99999-NI
174-Cogent Communications,0.35331
1299-Telia Company AB,0.14895
6453-TATA COMMUNICATIONS (AMERICA) INC,0.10013
12956-Telefonica International Wholesale S,0.07229
52468-UFINET PANAMA S.A.,0.0673
14754-Telgua,0.06701
27742-Amnet Telecomunicaciones S.A.,0.06045
262206-COMCEL GUATEMALA S.A.,0.06024
3356-Level 3 Communications Inc.,0.05375
23520-Columbus Networks USA Inc.,0.03612
5511-Orange S.A.,0.02204
267797-unknown,0.02014
262202-Telefonica de Costa Rica TC SA,0.01555
6762-TELECOM ITALIA SPARKLE S.p.A.,0.01364
28036-Telefonia Celular de Nicaragua SA.,0.01112
263817-REDCA - RED CENTROAMERICANA DE TELEC,0.01092
6830-Liberty Global Operations B.V.,0.00988
2647-Societe Internationale de Telecommun,0.00732
3491-PCCW Global Inc.,0.00627
18840-EQUIPOS Y SISTEMAS S.A.,0.00415
6461-Zayo Bandwidth,0.00317
701-MCI Communications Services Inc. d/b,0.00284
11830-Instituto Costarricense de Electrici,0.00275
206610-Pindo S.a.,0.00245
2914-NTT America Inc.,0.00173
3257-GTT Communications Inc.,0.001
52262-TelefÃ³nica Celular S.A,0.00092
19551-Incapsula Inc,0.00089
1239-Sprint,0.00088
267715-unknown,0.00086
6939-Hurricane Electric Inc.,0.00065
22869-CABLECOLOR S.A.,0.00055
12180-Internap Network Services Corporatio,0.00055
52320-GlobeNet Cabos Submarinos Colombia S,0.00047
327952-NATCOM Development and Investment Li,0.00046
33132-Fibernet Direct,0.00043
3549-Level 3 Communications Inc.,0.00031
12182-Internap Network Services Corporatio,0.00028
3303-Swisscom (Switzerland) Ltd,0.00027
30781-Jaguar Network SAS,0.00027
2828-MCI Communications Services Inc. d/b,0.00026
58057-TeleMontazh Ltd.,0.00023
37662-West Indian Ocean Cable Company,0.00023
16735-ALGAR TELECOM S/A,0.0002
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00019
286-KPN B.V.,0.00016
29075-Lost Oasis SARL,0.00014
12389-PJSC Rostelecom,0.00014
32098-Transtelco Inc,0.00013
3223-Voxility S.R.L.,0.00011
9002-RETN Limited,0.0001
99999-NI,0.0
24961-myLoc managed IT AG,8e-05
2516-KDDI CORPORATION,7e-05
7922-Comcast Cable Communications LLC,6e-05
25607-IBW Communications,6e-05
4637-Telstra Global - Customer AS Number,5e-05
36086-Telx,4e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,4e-05
1836-green.ch AG,4e-05
59689-Keyade SAS,3e-05
13030-Init7 (Switzerland) Ltd.,3e-05
8218-Zayo France SAS,2e-05
4230-CLARO S.A.,2e-05
3216-PJSC "Vimpelcom",2e-05
21320-GEANT Limited,2e-05
18881-TELEFÃNICA BRASIL S.A,2e-05
9498-BHARTI Airtel Ltd.,1e-05
8758-Iway AG,1e-05
8732-OJSC Comcor,1e-05
8447-A1 Telekom Austria AG,1e-05
6661-POST Luxembourg,1e-05
37468-Angola Cables,1e-05
3320-Deutsche Telekom AG,1e-05
2497-Internet Initiative Japan Inc.,1e-05
20764-CJSC RASCOM,1e-05
198385-AlpineDC SA,1e-05
10429-Telefonica Data S.A.,1e-05
