Transit (row) / Origin (Column) ASN-ASNAME,99999-PA
23520-Columbus Networks USA Inc.,0.47362
3356-Level 3 Communications Inc.,0.20104
1299-Telia Company AB,0.13582
6830-Liberty Global Operations B.V.,0.08931
18809-Cable Onda,0.08174
2914-NTT America Inc.,0.0433
3491-PCCW Global Inc.,0.04226
6453-TATA COMMUNICATIONS (AMERICA) INC,0.03347
6762-TELECOM ITALIA SPARKLE S.p.A.,0.01931
11556-Cable & Wireless Panama,0.01247
12956-Telefonica International Wholesale S,0.00831
26105-Cable Onda,0.00772
3549-Level 3 Communications Inc.,0.0074
3257-GTT Communications Inc.,0.00586
42624-Simple Carrier LLC,0.00528
52468-UFINET PANAMA S.A.,0.0051
174-Cogent Communications,0.00418
206610-Pindo S.a.,0.00295
5511-Orange S.A.,0.00289
6461-Zayo Bandwidth,0.00271
2647-Societe Internationale de Telecommun,0.00209
28007-Gold Data C.A.,0.00191
701-MCI Communications Services Inc. d/b,0.00186
6939-Hurricane Electric Inc.,0.00159
27796-Galaxy Communications,0.00144
33576-ASN-Digicel,0.00125
40676-Psychz Networks,0.0012
33333-Awknet Communications Inc.,0.00104
59796-Storm Systems LLC,0.00045
262248-Metro MPLS,0.00044
21599-Cable Onda,0.00042
264788-Telconet S.A,0.0004
60068-Datacamp Limited,0.00026
42745-Safe Value Limited,0.00021
2828-MCI Communications Services Inc. d/b,0.0002
52245-UFINET PANAMA S.A.,0.00019
26426-Columbus Networks Panama,0.00019
20207-Gigared S.A.,0.00019
3223-Voxility S.R.L.,0.00017
28005-Digicel (Panama) S.A,0.00017
15576-NTS workspace AG,0.00016
7018-AT&T Services Inc.,0.00013
40861-Paradise Networks LLC,0.00013
262218-Servicios de TecnologÃ­as de Infor,0.00013
17216-DC74 LLC,0.00013
2516-KDDI CORPORATION,0.00012
18747-IFX Corporation,0.00012
9002-RETN Limited,0.0001
3303-Swisscom (Switzerland) Ltd,0.0001
22822-Limelight Networks Inc.,0.0001
12200-Rackspace Hosting,0.0001
99999-PA,0.0
7992-Cogeco Cable,0.0
7843-Time Warner Cable Internet LLC,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
6663-Euroweb Romania S.A.,0.0
57866-Fusix Networks B.V.,0.0
5713-Telkom SA Ltd.,0.0
5483-Magyar Telekom plc.,0.0
43531-IX Reach Ltd,0.0
41327-TechInfoTel Ltd.,0.0
37468-Angola Cables,0.0
35788-Forcepoint Cloud Ltd,0.0
3216-PJSC "Vimpelcom",0.0
3215-Orange S.A.,0.0
31424-nexellent ag,0.0
29208-Dial Telecom a.s.,0.0
28513-Uninet S.A. de C.V.,0.0
27978-Telmex Servicios Empresariales S.A.,0.0
27257-Webair Internet Development Company ,0.0
22364-Telefonica USA Inc.,0.0
209-Qwest Communications Company LLC,0.0
20454-SECURED SERVERS LLC,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
20001-Time Warner Cable Internet LLC,0.0
19740-Sudjam LLC,0.0
13193-Nerim SAS,0.0
12552-IP-Only Networks AB,0.0
12389-PJSC Rostelecom,0.0
12189-PhoenixNAP LLC,0.0
11096-FloridaNet,0.0
8220-COLT Technology Services Group Limit,9e-05
3267-State Institute of Information Techn,9e-05
29075-Lost Oasis SARL,9e-05
2497-Internet Initiative Japan Inc.,9e-05
286-KPN B.V.,8e-05
13768-ASE,8e-05
12180-Internap Network Services Corporatio,8e-05
63213-Astute Hosting Inc.,7e-05
50360-Tamatiya EOOD,7e-05
50304-Blix Solutions AS,7e-05
39798-MivoCloud SRL,7e-05
29802-HIVELOCITY VENTURES CORP,7e-05
267797-unknown,7e-05
262215-ITELKOM,7e-05
20860-iomart Cloud Services Limited.,7e-05
18779-EGIHosting,7e-05
13767-DataBank Holdings Ltd.,7e-05
8473-Bahnhof Internet AB,6e-05
7226-Latisys-Denver LLC,6e-05
6730-Sunrise Communications AG,6e-05
58271-FOP Gubina Lubov Petrivna,6e-05
5580-Hibernia Networks (Netherlands) BV,6e-05
4230-CLARO S.A.,6e-05
36236-NetActuate Inc,6e-05
33891-Core-Backbone GmbH,6e-05
32780-Hosting Services Inc.,6e-05
31025-GHOSTnet GmbH,6e-05
26505-E-Commerce Park N.V.,6e-05
262589-INTERNEXA Brasil Operadora de Teleco,6e-05
262195-Transamerican Telecomunication S.A.,6e-05
22927-Telefonica de Argentina,6e-05
22869-CABLECOLOR S.A.,6e-05
21686-SystemMetrics Corporation,6e-05
20473-Choopa LLC,6e-05
197595-Obenetwork AB,6e-05
19551-Incapsula Inc,6e-05
18678-INTERNEXA S.A. E.S.P,6e-05
14244-NSI Hosting,6e-05
8455-Schuberg Philis B.V.,5e-05
8447-A1 Telekom Austria AG,5e-05
7545-TPG Telecom Limited,5e-05
46786-IP Transit Inc.,5e-05
20764-CJSC RASCOM,5e-05
20485-Closed Joint Stock Company TransTele,5e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,5e-05
18881-TELEFÃNICA BRASIL S.A,5e-05
1853-ACONET,5e-05
1257-TELE2,5e-05
3320-Deutsche Telekom AG,4e-05
30781-Jaguar Network SAS,4e-05
265867-Trans Ocean Network,4e-05
16814-NSS S.A.,4e-05
16265-LeaseWeb Network B.V.,4e-05
14709-Telefonica Moviles Panama S.A.,4e-05
12182-Internap Network Services Corporatio,4e-05
7922-Comcast Cable Communications LLC,3e-05
6661-POST Luxembourg,3e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,3e-05
58057-TeleMontazh Ltd.,3e-05
52320-GlobeNet Cabos Submarinos Colombia S,3e-05
50673-Serverius Holding B.V.,3e-05
4637-Telstra Global - Customer AS Number,3e-05
395880-AS-BOOMERANG,3e-05
3790-RADIOGRAFICA COSTARRICENSE,3e-05
36149-Hawaiian Telcom Services Company Inc,3e-05
31133-PJSC MegaFon,3e-05
29119-ServiHosting Networks S.L.,3e-05
29031-Lugansk Telephone Company,3e-05
27947-Telconet S.A,3e-05
23498-COGECODATA,3e-05
21320-GEANT Limited,3e-05
16735-ALGAR TELECOM S/A,3e-05
59689-Keyade SAS,2e-05
577-Bell Canada,2e-05
43201-PRO-NET Ltd.,2e-05
36086-Telx,2e-05
265766-Block DDoS S.A.,2e-05
23059-Limelight Networks Inc.,2e-05
17139-Corporate Colocation Inc.,2e-05
