Transit (row) / Origin (Column) ASN-ASNAME,99999-PE
12956-Telefonica International Wholesale S,0.43242
3257-GTT Communications Inc.,0.14772
4-University of Southern California,0.10347
6762-TELECOM ITALIA SPARKLE S.p.A.,0.06819
3356-Level 3 Communications Inc.,0.05683
1299-Telia Company AB,0.05373
2914-NTT America Inc.,0.04661
3549-Level 3 Communications Inc.,0.03653
21575-ENTEL PERU S.A.,0.02421
2-University of Delaware,0.01843
23520-Columbus Networks USA Inc.,0.00683
3-Massachusetts Institute of Technolog,0.0047
262589-INTERNEXA Brasil Operadora de Teleco,0.004
41095-IPTP LTD,0.00384
6830-Liberty Global Operations B.V.,0.00231
52320-GlobeNet Cabos Submarinos Colombia S,0.00225
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00214
262253-ECONOCABLE MEDIA SAC,0.00207
28032-INTERNEXA PERU S.A,0.00191
5511-Orange S.A.,0.00179
6147-Telefonica del Peru S.A.A.,0.00153
206610-Pindo S.a.,0.0015
2647-Societe Internationale de Telecommun,0.00142
27843-OPTICAL TECHNOLOGIES S.A.C.,0.00132
174-Cogent Communications,0.00124
6461-Zayo Bandwidth,0.001
15576-NTS workspace AG,0.00082
6939-Hurricane Electric Inc.,0.00078
1239-Sprint,0.00077
3491-PCCW Global Inc.,0.00061
3132-Red Cientifica Peruana,0.00061
263229-NAP Peru,0.00051
12252-America Movil Peru S.A.C.,0.00045
262210-VIETTEL PERÃ S.A.C.,0.00044
2516-KDDI CORPORATION,0.00043
286-KPN B.V.,0.00041
12552-IP-Only Networks AB,0.0004
9002-RETN Limited,0.00038
2497-Internet Initiative Japan Inc.,0.00038
20764-CJSC RASCOM,0.00037
52468-UFINET PANAMA S.A.,0.00036
29075-Lost Oasis SARL,0.00036
3267-State Institute of Information Techn,0.00035
27986-ENTEL CHILE S.A.,0.00035
8455-Schuberg Philis B.V.,0.00034
7545-TPG Telecom Limited,0.00034
1853-ACONET,0.00034
18881-TELEFÃNICA BRASIL S.A,0.00028
6730-Sunrise Communications AG,0.00027
3320-Deutsche Telekom AG,0.00027
1257-TELE2,0.00027
27702-America Movil Peru S.A.C.,0.00026
42555-OPTICCOM- BULGARIA Ltd.,0.00024
7018-AT&T Services Inc.,0.00022
29802-HIVELOCITY VENTURES CORP,0.00022
262182-Media Networks Latin America SAC,0.00022
47872-Sofia Connect EAD,0.0002
18678-INTERNEXA S.A. E.S.P,0.0002
263798-UFINET COLOMBIA S. A.,0.00018
12200-Rackspace Hosting,0.00018
18747-IFX Corporation,0.00013
4230-CLARO S.A.,0.00012
99999-PE,0.0
8359-MTS PJSC,0.0
7029-Windstream Communications LLC,0.0
7004-CTC Transmisiones Regionales S.A.,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
58453-Level 30 Tower 1,0.0
57866-Fusix Networks B.V.,0.0
5713-Telkom SA Ltd.,0.0
56611-REBA Communications BV,0.0
42708-Portlane AB,0.0
41327-TechInfoTel Ltd.,0.0
38930-LeaseWeb Network B.V.,0.0
37468-Angola Cables,0.0
35280-ACORUS NETWORKS SAS,0.0
28917-LLC "TRC FIORD",0.0
2828-MCI Communications Services Inc. d/b,0.0
27678-NIC Chile,0.0
2603-NORDUnet,0.0
25091-IP-Max SA,0.0
22418-Cologuard,0.0
22364-Telefonica USA Inc.,0.0
20485-Closed Joint Stock Company TransTele,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
20080-Florida International University,0.0
200780-APPLIWAVE SAS,0.0
198385-AlpineDC SA,0.0
19740-Sudjam LLC,0.0
1836-green.ch AG,0.0
1764-Next Layer Telekommunikationsdienstl,0.0
16265-LeaseWeb Network B.V.,0.0
14259-Gtd Internet S.A.,0.0
13876-FiberLight LLC,0.0
12874-Fastweb SpA,0.0
11164-Internet2,0.0
6621-Hughes Network Systems,9e-05
35228-Telefonica UK Limited,9e-05
22927-Telefonica de Argentina,9e-05
22411-WIGO S.A.,9e-05
11271-BT Latam Brasil Ltda,9e-05
44814-"Bulgartel" EAD,8e-05
19180-AMERICATEL PERU S.A.,8e-05
8220-COLT Technology Services Group Limit,6e-05
57717-FiberXpress BV,6e-05
32098-Transtelco Inc,6e-05
209-Qwest Communications Company LLC,5e-05
16735-ALGAR TELECOM S/A,5e-05
12180-Internap Network Services Corporatio,5e-05
8473-Bahnhof Internet AB,4e-05
8447-A1 Telekom Austria AG,4e-05
7738-Telemar Norte Leste S.A.,4e-05
6661-POST Luxembourg,4e-05
6429-Telmex Chile Internet S.A.,4e-05
52280-INTERNEXA Chile S.A.,4e-05
40676-Psychz Networks,4e-05
33132-Fibernet Direct,4e-05
28513-Uninet S.A. de C.V.,4e-05
262215-ITELKOM,4e-05
26094-Baltimore Technology Park LLC,4e-05
22351-INTELSAT GLOBAL SERVICE CORPORATION,4e-05
21320-GEANT Limited,4e-05
20207-Gigared S.A.,4e-05
201288-"DPT GROUP" Ltd,4e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,4e-05
15169-Google LLC,4e-05
8732-OJSC Comcor,3e-05
701-MCI Communications Services Inc. d/b,3e-05
59689-Keyade SAS,3e-05
4809-China Telecom Next Generation Carrie,3e-05
3303-Swisscom (Switzerland) Ltd,3e-05
30781-Jaguar Network SAS,3e-05
22548-NÃºcleo de Inf. e Coord. do Ponto ,3e-05
12182-Internap Network Services Corporatio,3e-05
11432-Telium TelecomunicaÃ§Ãµes Ltda,3e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,2e-05
58057-TeleMontazh Ltd.,2e-05
29838-Atlantic Metro Communications LLC,2e-05
29119-ServiHosting Networks S.L.,2e-05
27978-Telmex Servicios Empresariales S.A.,2e-05
14178-Megacable Comunicaciones de Mexico S,2e-05
13807-GREAT PLAINS COMMUNICATIONS INC,2e-05
8758-Iway AG,1e-05
8468-ENTANET International Limited,1e-05
8218-Zayo France SAS,1e-05
8100-QuadraNet Inc,1e-05
7922-Comcast Cable Communications LLC,1e-05
7473-Singapore Telecommunications Ltd,1e-05
5400-British Telecommunications plc,1e-05
4637-Telstra Global - Customer AS Number,1e-05
36236-NetActuate Inc,1e-05
33891-Core-Backbone GmbH,1e-05
3223-Voxility S.R.L.,1e-05
3216-PJSC "Vimpelcom",1e-05
262195-Transamerican Telecomunication S.A.,1e-05
24961-myLoc managed IT AG,1e-05
20562-Broadband Hosting B.V,1e-05
19114-Otecel S.A.,1e-05
17139-Corporate Colocation Inc.,1e-05
15412-Reliance Globalcom Limited,1e-05
13030-Init7 (Switzerland) Ltd.,1e-05
12389-PJSC Rostelecom,1e-05
10429-Telefonica Data S.A.,1e-05
