Transit (row) / Origin (Column) ASN-ASNAME,99999-PT
8657-MEO - SERVICOS DE COMUNICACOES E MUL,0.2609
174-Cogent Communications,0.22495
1273-Vodafone Group PLC,0.13796
6453-TATA COMMUNICATIONS (AMERICA) INC,0.1356
6939-Hurricane Electric Inc.,0.04886
21320-GEANT Limited,0.0352
2860-NOS COMUNICACOES S.A.,0.01239
13156-Cabovisao televisao por cabovisao sa,0.01187
1299-Telia Company AB,0.01001
209-Qwest Communications Company LLC,0.00805
367-DoD Network Information Center,0.00736
1930-Fundacao para a Ciencia e a Tecnolog,0.00715
9186-ONITELECOM - INFOCOMUNICACOES S.A.,0.00593
2603-NORDUnet,0.0048
20965-GEANT Limited,0.00441
15525-MEO - SERVICOS DE COMUNICACOES E MUL,0.00422
27065-DoD Network Information Center,0.00368
3356-Level 3 Communications Inc.,0.00328
206610-Pindo S.a.,0.00253
5511-Orange S.A.,0.00236
721-DoD Network Information Center,0.00218
6853-Equant Inc.,0.00186
8426-ClaraNET LTD,0.00119
3243-MEO - SERVICOS DE COMUNICACOES E MUL,0.00115
27064-DoD Network Information Center,0.0011
3910-Qwest Communications Company LLC,0.00102
8455-Schuberg Philis B.V.,0.00089
29003-IP TELECOM SERVICOS DE TELECOMUNICAC,0.00074
3257-GTT Communications Inc.,0.00069
3223-Voxility S.R.L.,0.00068
47787-Chelyabinsk-Stroyindustriya Ltd.,0.00066
2914-NTT America Inc.,0.00065
8220-COLT Technology Services Group Limit,0.00052
42863-MEO - SERVICOS DE COMUNICACOES E MUL,0.00049
6661-POST Luxembourg,0.00044
12552-IP-Only Networks AB,0.00043
15169-Google LLC,0.00033
12926-AR TELECOM - Acessos e Redes de Tele,0.00031
11537-Internet2,0.00027
3267-State Institute of Information Techn,0.00026
24768-ALMOUROLTEC SERVICOS DE INFORMATICA ,0.00026
8468-ENTANET International Limited,0.00025
4230-CLARO S.A.,0.00025
37468-Angola Cables,0.00025
6461-Zayo Bandwidth,0.00024
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00023
15412-Reliance Globalcom Limited,0.0002
50673-Serverius Holding B.V.,0.00019
8708-RCS & RDS SA,0.00018
22388-Indiana University,0.00018
6663-Euroweb Romania S.A.,0.00017
43350-NForce Entertainment B.V.,0.00017
7660-Asia Pacific Advanced Network - Japa,0.00013
52320-GlobeNet Cabos Submarinos Colombia S,0.00013
12353-Vodafone Portugal - Communicacoes Pe,0.00013
3320-Deutsche Telekom AG,0.00012
43260-DGN TEKNOLOJI A.S.,0.00011
33891-Core-Backbone GmbH,0.00011
201782-Make It Simple Consultoria Informati,0.00011
16735-ALGAR TELECOM S/A,0.00011
15085-Immedion LLC,0.00011
29075-Lost Oasis SARL,0.0001
2516-KDDI CORPORATION,0.0001
99999-PT,0.0
9044-BSE Software GmbH,0.0
8758-Iway AG,0.0
8732-OJSC Comcor,0.0
7029-Windstream Communications LLC,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
62416-SAMPLING LINE-SERVICOS E INTERNET LD,0.0
6079-RCN,0.0
59854-Top Level Hosting SRL,0.0
