Transit (row) / Origin (Column) ASN-ASNAME,99999-SD
16637-MTN SA,0.45854
59605-MENA LEVANT W.L.L,0.14618
6762-TELECOM ITALIA SPARKLE S.p.A.,0.14397
5511-Orange S.A.,0.12985
33788-Kanar Telecommunication (Canar Telec,0.1044
3356-Level 3 Communications Inc.,0.08199
15706-Sudatel Telecom Group,0.07836
15412-Reliance Globalcom Limited,0.0488
8452-TE-AS,0.04113
39386-Saudi Telecom Company JSC,0.04065
6453-TATA COMMUNICATIONS (AMERICA) INC,0.0369
1299-Telia Company AB,0.01397
6939-Hurricane Electric Inc.,0.01217
204523-unknown,0.00592
174-Cogent Communications,0.0053
2914-NTT America Inc.,0.00144
206610-Pindo S.a.,0.00136
99999-SD,0.0
8966-Emirates Telecommunications Corporat,0.0
8781-Ooredoo Q.S.C.,0.0
8732-OJSC Comcor,0.0
8468-ENTANET International Limited,0.0
8447-A1 Telekom Austria AG,0.0
8218-Zayo France SAS,0.0
6777-Amsterdam Internet Exchange B.V.,0.0
51375-VIVA Bahrain BSC Closed,0.0
37468-Angola Cables,0.0
3320-Deutsche Telekom AG,0.0
3267-State Institute of Information Techn,0.0
30781-Jaguar Network SAS,0.0
29357-National Mobile Telecommunications C,0.0
29075-Lost Oasis SARL,0.0
28917-LLC "TRC FIORD",0.0
2852-CESNET z.s.p.o.,0.0
25091-IP-Max SA,0.0
20764-CJSC RASCOM,0.0
202984-Chernyshov Aleksandr Aleksandrovich,0.0
1836-green.ch AG,0.0
16265-LeaseWeb Network B.V.,0.0
13101-ennit server GmbH,0.0
13030-Init7 (Switzerland) Ltd.,0.0
12859-BIT BV,0.0
1273-Vodafone Group PLC,0.0
25122-GULFSATCOMMUNICATIONS COMPANY K.S.C.,8e-05
6461-Zayo Bandwidth,7e-05
3491-PCCW Global Inc.,7e-05
3257-GTT Communications Inc.,7e-05
37271-Workonline Communications(Pty) Ltd,4e-05
15570-InterNAP Network Services U.K. Limit,3e-05
61218-FM GROUP WORLD Artur Trawinski Sp.zo,2e-05
58057-TeleMontazh Ltd.,2e-05
3225-Gulfnet Kuwait,2e-05
21050-Fast Telecommunications Company W.L.,2e-05
6661-POST Luxembourg,1e-05
52320-GlobeNet Cabos Submarinos Colombia S,1e-05
51531-DE-CIX Management GmbH,1e-05
43852-Kuwait Data Center Co.,1e-05
42-WoodyNet,1e-05
36086-Telx,1e-05
33891-Core-Backbone GmbH,1e-05
3209-Vodafone GmbH,1e-05
24961-myLoc managed IT AG,1e-05
200612-Gulf Bridge International Inc.,1e-05
