Transit (row) / Origin (Column) ASN-ASNAME,99999-SO
37662-West Indian Ocean Cable Company,0.25557
327732-Dalkom Somalia,0.16132
5511-Orange S.A.,0.13052
30990-DJIBOUTI TELECOM S.A.,0.13022
6939-Hurricane Electric Inc.,0.11143
174-Cogent Communications,0.08661
37371-Hormuud Telecom Somalia INC,0.07916
328250-Golis Telecom Somalia,0.04833
8529-Oman Telecommunications Company (S.A,0.04343
3356-Level 3 Communications Inc.,0.04254
328469-unknown,0.024
6461-Zayo Bandwidth,0.0235
36944-Ubuntunet Alliance For Research and ,0.01779
37425-SomCable,0.01759
2914-NTT America Inc.,0.01606
37100-SEACOM Limited,0.01328
327828-Somali Optical Networks,0.01188
6453-TATA COMMUNICATIONS (AMERICA) INC,0.01183
6762-TELECOM ITALIA SPARKLE S.p.A.,0.01101
3257-GTT Communications Inc.,0.00984
9498-BHARTI Airtel Ltd.,0.00942
24757-ISP in Ethiopia,0.00813
38193-Transworld Associates (Pvt.) Ltd.,0.00585
3491-PCCW Global Inc.,0.00554
11845-Vox Telecom Ltd,0.00553
1299-Telia Company AB,0.00515
15706-Sudatel Telecom Group,0.00407
37179-Africa Independent Network Exchange ,0.00397
15570-InterNAP Network Services U.K. Limit,0.00389
58057-TeleMontazh Ltd.,0.00308
6661-POST Luxembourg,0.00305
204523-unknown,0.00271
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00247
4809-China Telecom Next Generation Carrie,0.00244
51531-DE-CIX Management GmbH,0.002
36086-Telx,0.00179
52320-GlobeNet Cabos Submarinos Colombia S,0.00157
42-WoodyNet,0.0012
327782-Metrofibre Networx,0.00112
24961-myLoc managed IT AG,0.00108
20764-CJSC RASCOM,0.001
206610-Pindo S.a.,0.00098
37305-Frontier Optical Networks Ltd,0.00095
8447-A1 Telekom Austria AG,0.00093
33891-Core-Backbone GmbH,0.00085
15808-ACCESSKENYA GROUP LTD is an ISP serv,0.0008
30781-Jaguar Network SAS,0.00079
29075-Lost Oasis SARL,0.00079
28917-LLC "TRC FIORD",0.00079
4637-Telstra Global - Customer AS Number,0.00078
202984-Chernyshov Aleksandr Aleksandrovich,0.00072
9002-RETN Limited,0.00057
8732-OJSC Comcor,0.00057
11537-Internet2,0.00054
1836-green.ch AG,0.00051
37468-Angola Cables,0.0005
13030-Init7 (Switzerland) Ltd.,0.00032
41095-IPTP LTD,0.00029
3267-State Institute of Information Techn,0.00029
8218-Zayo France SAS,0.00021
3741-Internet Solutions,0.00021
3303-Swisscom (Switzerland) Ltd,0.00021
1221-Telstra Managed Network Services,0.00021
13101-ennit server GmbH,0.0002
8455-Schuberg Philis B.V.,0.00014
7922-Comcast Cable Communications LLC,0.00014
25091-IP-Max SA,0.00014
21320-GEANT Limited,0.00014
99999-SO,0.0
6777-Amsterdam Internet Exchange B.V.,7e-05
3320-Deutsche Telekom AG,7e-05
2852-CESNET z.s.p.o.,7e-05
22388-Indiana University,7e-05
7660-Asia Pacific Advanced Network - Japa,5e-05
60725-O3b Sales BV,4e-05
