Transit (row) / Origin (Column) ASN-ASNAME,99999-SZ
19711-SWAZILAND PTC,0.2788
5511-Orange S.A.,0.08754
16637-MTN SA,0.07475
5713-Telkom SA Ltd.,0.07414
37662-West Indian Ocean Cable Company,0.06728
5583-Orange S.A.,0.06454
327814-Ecoband Ltd,0.06407
174-Cogent Communications,0.04718
3356-Level 3 Communications Inc.,0.04134
3741-Internet Solutions,0.03643
2914-NTT America Inc.,0.02017
3491-PCCW Global Inc.,0.01675
37100-SEACOM Limited,0.0156
6939-Hurricane Electric Inc.,0.01294
6461-Zayo Bandwidth,0.01122
1299-Telia Company AB,0.00926
52320-GlobeNet Cabos Submarinos Colombia S,0.00681
6661-POST Luxembourg,0.00666
6453-TATA COMMUNICATIONS (AMERICA) INC,0.0064
12180-Internap Network Services Corporatio,0.00484
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00429
30781-Jaguar Network SAS,0.00379
29075-Lost Oasis SARL,0.00364
8447-A1 Telekom Austria AG,0.0035
20764-CJSC RASCOM,0.0034
3267-State Institute of Information Techn,0.00336
28917-LLC "TRC FIORD",0.00336
202984-Chernyshov Aleksandr Aleksandrovich,0.00336
25091-IP-Max SA,0.00316
2828-MCI Communications Services Inc. d/b,0.00254
12182-Internap Network Services Corporatio,0.00245
58057-TeleMontazh Ltd.,0.00206
3257-GTT Communications Inc.,0.0019
6777-Amsterdam Internet Exchange B.V.,0.00177
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00165
701-MCI Communications Services Inc. d/b,0.00143
36086-Telx,0.0012
5645-TekSavvy Solutions Inc.,0.00085
24961-myLoc managed IT AG,0.00072
12956-Telefonica International Wholesale S,0.00072
206610-Pindo S.a.,0.0007
396390-Indiana University,0.00058
9002-RETN Limited,0.00048
37468-Angola Cables,0.00042
7922-Comcast Cable Communications LLC,0.00041
6830-Liberty Global Operations B.V.,0.00038
20080-Florida International University,0.00038
1836-green.ch AG,0.00034
3303-Swisscom (Switzerland) Ltd,0.00029
286-KPN B.V.,0.00029
22418-Cologuard,0.00029
11537-Internet2,0.00029
13030-Init7 (Switzerland) Ltd.,0.00021
4230-CLARO S.A.,0.00019
41327-TechInfoTel Ltd.,0.00019
2497-Internet Initiative Japan Inc.,0.00019
12389-PJSC Rostelecom,0.00019
2516-KDDI CORPORATION,0.00014
7473-Singapore Telecommunications Ltd,0.0001
59689-Keyade SAS,0.0001
15412-Reliance Globalcom Limited,0.0001
99999-SZ,0.0
17400-MSTelcom-Mercury Servicos de Telecom,8e-05
3216-PJSC "Vimpelcom",7e-05
36917-Angola Comunicacoes & Systems LDA,6e-05
22388-Indiana University,6e-05
8732-OJSC Comcor,5e-05
8218-Zayo France SAS,5e-05
7660-Asia Pacific Advanced Network - Japa,5e-05
4637-Telstra Global - Customer AS Number,5e-05
3320-Deutsche Telekom AG,5e-05
