Transit (row) / Origin (Column) ASN-ASNAME,99999-TH
38040-TOT Public Company Limited,0.34245
7470-True Internet Co.Ltd.,0.1977
4651-The Communications Authority of Thai,0.17717
6939-Hurricane Electric Inc.,0.14379
38082-True International Gateway Co. Ltd.,0.06093
7568-CS LOXINFO PUBLIC COMPANY LIMITED,0.05162
45430-Advance Datanetwork Communications C,0.04752
45629-JasTel Network International Gateway,0.04596
9587-26th Floor 333/3 Moo 14 Chai Buildin,0.02545
132876-Symphony Communication (Thailand) PC,0.02179
10089-Total Access Communication PLC.,0.01956
2914-NTT America Inc.,0.01459
174-Cogent Communications,0.01404
4788-Telekom Malaysia Access Point Servic,0.0131
4637-Telstra Global - Customer AS Number,0.01077
45796-UIH / BB Broadband,0.00819
7473-Singapore Telecommunications Ltd,0.00709
4621-Institute Rajabhat Suandusit,0.00674
15932-Telenor Global Services AS,0.00616
4766-Korea Telecom,0.00613
1299-Telia Company AB,0.00595
45458-Advance Datanetwork Communications C,0.00572
3491-PCCW Global Inc.,0.00565
15412-Reliance Globalcom Limited,0.00464
9931-The Communications Authority of Thai,0.00429
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00397
45758-Triple T Internet/Triple T Broadband,0.00317
6461-Zayo Bandwidth,0.00229
3356-Level 3 Communications Inc.,0.00212
4741-Mahanakorn University of Technology ,0.00172
58430-T.C.C. Technology Co. Ltd.,0.0017
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00147
4618-Asia Plus Securities Public Company ,0.00146
4750-CS LOXINFO PUBLIC COMPANY LIMITED,0.00145
3257-GTT Communications Inc.,0.00143
38794-UIH / BB Broadband,0.00142
1221-Telstra Managed Network Services,0.0014
132280-Symphony Communication (Thailand) PC,0.00129
7693-KSC Commercial Internet Co. Ltd.,0.00126
9891-CS LOXINFO PUBLIC COMPANY LIMITED,0.00104
58453-Level 30 Tower 1,0.0009
135511-CS LOXINFO PUBLIC COMPANY LIMITED,0.00082
24475-Institute Rajabhat Suandusit,0.00069
1273-Vodafone Group PLC,0.00067
35280-ACORUS NETWORKS SAS,0.00062
9505-Data Communication Business Group,0.00055
2497-Internet Initiative Japan Inc.,0.00046
206610-Pindo S.a.,0.00046
7654-Internet Solution & Service Provider,0.00044
