Transit (row) / Origin (Column) ASN-ASNAME,99999-TL
60725-O3b Sales BV,0.28099
7713-PT Telekomunikasi Indonesia,0.2783
58731-Telekomunikasi Indonesia Internation,0.2383
4826-Vocus Communications,0.14588
23947-PT.Mora Telematika Indonesia,0.07347
6939-Hurricane Electric Inc.,0.07039
45147-PT. NAP Info Lintas Nusa,0.0611
17927-WEBSATMEDIA PTE LTD Satellite Over I,0.04938
10031-WEBSATMEDIA PTE LTD Satellite Over I,0.04216
136942-Elite Computer LDA,0.03611
64313-PT. NAP Info Lintas Nusa,0.02794
9002-RETN Limited,0.02388
1299-Telia Company AB,0.02169
24482-SG.GS,0.02002
133606-Viettel Timor Leste,0.02
174-Cogent Communications,0.01152
2914-NTT America Inc.,0.01018
38077-Timor Telecom SA,0.01
6461-Zayo Bandwidth,0.00919
3257-GTT Communications Inc.,0.0071
3356-Level 3 Communications Inc.,0.00655
3491-PCCW Global Inc.,0.0057
15412-Reliance Globalcom Limited,0.00523
58057-TeleMontazh Ltd.,0.00507
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.0041
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00393
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00359
7473-Singapore Telecommunications Ltd,0.00343
24961-myLoc managed IT AG,0.00179
9505-Data Communication Business Group,0.00177
6830-Liberty Global Operations B.V.,0.00158
36086-Telx,0.00095
1836-green.ch AG,0.00085
13030-Init7 (Switzerland) Ltd.,0.00053
206610-Pindo S.a.,0.00044
52320-GlobeNet Cabos Submarinos Colombia S,0.00024
6777-Amsterdam Internet Exchange B.V.,0.00012
6661-POST Luxembourg,0.00012
4637-Telstra Global - Customer AS Number,0.00012
3320-Deutsche Telekom AG,0.00012
3267-State Institute of Information Techn,0.00012
29075-Lost Oasis SARL,0.00012
21320-GEANT Limited,0.00012
20764-CJSC RASCOM,0.00012
99999-TL,0.0
1221-Telstra Managed Network Services,2e-05
