Transit (row) / Origin (Column) ASN-ASNAME,99999-TV
5666-Harris CapRock Communications Inc.,0.49756
38456-Pacific Teleports.,0.24878
4637-Telstra Global - Customer AS Number,0.16571
38176-Asia Broadcast Satellite Ltd.,0.10939
6461-Zayo Bandwidth,0.10485
3356-Level 3 Communications Inc.,0.09902
12180-Internap Network Services Corporatio,0.06801
3491-PCCW Global Inc.,0.03693
12182-Internap Network Services Corporatio,0.03429
58057-TeleMontazh Ltd.,0.02855
1299-Telia Company AB,0.02704
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.02301
2914-NTT America Inc.,0.01855
174-Cogent Communications,0.01651
36086-Telx,0.01139
24961-myLoc managed IT AG,0.01006
3257-GTT Communications Inc.,0.00723
7922-Comcast Cable Communications LLC,0.00569
1836-green.ch AG,0.00479
13030-Init7 (Switzerland) Ltd.,0.00297
5511-Orange S.A.,0.00084
3320-Deutsche Telekom AG,0.00067
206610-Pindo S.a.,0.00067
1221-Telstra Managed Network Services,0.00045
99999-TV,0.0
