Transit (row) / Origin (Column) ASN-ASNAME,99999-UZ
28910-"Uzbektelekom" Joint Stock Company,0.53381
34250-"Uzbektelecom" Joint-Stock Company,0.28019
39032-East Telecom,0.18627
34718-LLC "TEXNOPROSISTEM",0.15295
50245-Serverel Inc.,0.10806
31133-PJSC MegaFon,0.0574
3216-PJSC "Vimpelcom",0.03684
43727-KVANT-TELEKOM Closed Joint Stock Com,0.03357
35168-TNS-Plus LLP,0.03208
9002-RETN Limited,0.0286
205103-Telegraph 42 Management GmbH,0.02629
6939-Hurricane Electric Inc.,0.02329
20485-Closed Joint Stock Company TransTele,0.02139
60299-Mezhdugorodnyaya Mezhdunarodnaya Tel,0.01781
5511-Orange S.A.,0.01182
4862-Orange Business,0.01052
20764-CJSC RASCOM,0.00942
174-Cogent Communications,0.00896
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00887
8449-"ElCat" Ltd.,0.00791
12389-PJSC Rostelecom,0.00586
3356-Level 3 Communications Inc.,0.00542
3257-GTT Communications Inc.,0.0052
1299-Telia Company AB,0.00361
43060-IPLUS LLC,0.00329
8193-"Uzbektelekom" Joint Stock Company,0.00296
31500-LLC GLOBALNET,0.00293
35104-JSC "Kaztranscom",0.00229
4657-Singapore Government Network AS,0.00205
15169-Google LLC,0.002
3267-State Institute of Information Techn,0.00186
1273-Vodafone Group PLC,0.00157
2914-NTT America Inc.,0.00109
28917-LLC "TRC FIORD",0.00106
50107-tcp cloud a.s.,0.00101
41095-IPTP LTD,0.00088
58453-Level 30 Tower 1,0.00076
3491-PCCW Global Inc.,0.0007
31203-Sharq Telekom CJSC,0.00066
202660-"Uzbektelekom" Joint Stock Company,0.00066
32748-Steadfast,0.00062
43515-Google Ireland Limited,0.00047
15570-InterNAP Network Services U.K. Limit,0.00042
7473-Singapore Telecommunications Ltd,0.00037
58057-TeleMontazh Ltd.,0.00033
31172-QFast Telecom B.V.,0.00031
8455-Schuberg Philis B.V.,0.00027
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00027
6453-TATA COMMUNICATIONS (AMERICA) INC,0.0002
8447-A1 Telekom Austria AG,0.00019
8359-MTS PJSC,0.00016
6661-POST Luxembourg,0.00013
3549-Level 3 Communications Inc.,0.00013
2497-Internet Initiative Japan Inc.,0.00012
24961-myLoc managed IT AG,0.00012
24785-Broadband Hosting B.V,0.00012
12956-Telefonica International Wholesale S,0.00012
6461-Zayo Bandwidth,0.00011
99999-UZ,0.0
9443-Vocus Communications,0.0
4826-Vocus Communications,0.0
210222-unknown,0.0
206610-Pindo S.a.,9e-05
4230-CLARO S.A.,8e-05
3303-Swisscom (Switzerland) Ltd,8e-05
30781-Jaguar Network SAS,8e-05
13030-Init7 (Switzerland) Ltd.,8e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,7e-05
6830-Liberty Global Operations B.V.,6e-05
4713-NTT Communications Corporation,6e-05
21320-GEANT Limited,6e-05
1836-green.ch AG,6e-05
8758-Iway AG,5e-05
8468-ENTANET International Limited,5e-05
2516-KDDI CORPORATION,5e-05
8732-OJSC Comcor,4e-05
8218-Zayo France SAS,4e-05
2603-NORDUnet,4e-05
18881-TELEFÃNICA BRASIL S.A,4e-05
15412-Reliance Globalcom Limited,4e-05
4637-Telstra Global - Customer AS Number,3e-05
29075-Lost Oasis SARL,3e-05
20562-Broadband Hosting B.V,3e-05
202984-Chernyshov Aleksandr Aleksandrovich,3e-05
12714-Net By Net Holding LLC,3e-05
7545-TPG Telecom Limited,2e-05
59689-Keyade SAS,2e-05
52320-GlobeNet Cabos Submarinos Colombia S,2e-05
37468-Angola Cables,2e-05
286-KPN B.V.,2e-05
25478-iHome LLC,2e-05
1853-ACONET,2e-05
10429-Telefonica Data S.A.,2e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
43531-IX Reach Ltd,1e-05
41327-TechInfoTel Ltd.,1e-05
38880-Micron21 Datacentre Pty Ltd,1e-05
35280-ACORUS NETWORKS SAS,1e-05
33891-Core-Backbone GmbH,1e-05
3320-Deutsche Telekom AG,1e-05
29076-Filanco ltd.,1e-05
2852-CESNET z.s.p.o.,1e-05
13193-Nerim SAS,1e-05
