Transit (row) / Origin (Column) ASN-ASNAME,99999-VC
23520-Columbus Networks USA Inc.,0.65056
5511-Orange S.A.,0.15969
2647-Societe Internationale de Telecommun,0.13024
1299-Telia Company AB,0.10063
6830-Liberty Global Operations B.V.,0.09682
3491-PCCW Global Inc.,0.06253
6461-Zayo Bandwidth,0.04127
3356-Level 3 Communications Inc.,0.01559
1273-Vodafone Group PLC,0.01127
12180-Internap Network Services Corporatio,0.00981
2914-NTT America Inc.,0.00723
12182-Internap Network Services Corporatio,0.00494
58057-TeleMontazh Ltd.,0.00416
206610-Pindo S.a.,0.00354
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00333
174-Cogent Communications,0.00287
51531-DE-CIX Management GmbH,0.00269
42-WoodyNet,0.00162
24961-myLoc managed IT AG,0.00146
33891-Core-Backbone GmbH,0.00111
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00089
7922-Comcast Cable Communications LLC,0.00082
1836-green.ch AG,0.00069
6939-Hurricane Electric Inc.,0.00048
13030-Init7 (Switzerland) Ltd.,0.00043
8218-Zayo France SAS,0.00038
15576-NTS workspace AG,0.00038
9002-RETN Limited,0.00029
52320-GlobeNet Cabos Submarinos Colombia S,0.00029
12956-Telefonica International Wholesale S,0.00029
13101-ennit server GmbH,0.00026
6661-POST Luxembourg,0.00019
3267-State Institute of Information Techn,0.00019
21320-GEANT Limited,0.00019
20764-CJSC RASCOM,0.00019
8220-COLT Technology Services Group Limit,0.0001
6777-Amsterdam Internet Exchange B.V.,0.0001
3320-Deutsche Telekom AG,0.0001
29075-Lost Oasis SARL,0.0001
24745-TELEKOM ROMANIA COMMUNICATION S.A,0.0001
99999-VC,0.0
3257-GTT Communications Inc.,3e-05
