Transit (row) / Origin (Column) ASN-ASNAME,99999-VE
23520-Columbus Networks USA Inc.,0.32475
52320-GlobeNet Cabos Submarinos Colombia S,0.19543
8048-CANTV Servicios Venezuela,0.16308
6762-TELECOM ITALIA SPARKLE S.p.A.,0.15623
3549-Level 3 Communications Inc.,0.13637
3356-Level 3 Communications Inc.,0.10248
6830-Liberty Global Operations B.V.,0.0735
6939-Hurricane Electric Inc.,0.06517
1299-Telia Company AB,0.04829
3491-PCCW Global Inc.,0.01912
11562-Net Uno C.A.,0.01443
262589-INTERNEXA Brasil Operadora de Teleco,0.01005
27717-Corporacion Digitel C.A.,0.00833
20312-FundaciÃ³n Centro Nacional de Inno,0.00435
174-Cogent Communications,0.00373
8053-IFX Networks Venezuela C.A.,0.00334
2647-Societe Internationale de Telecommun,0.00307
28007-Gold Data C.A.,0.00248
6461-Zayo Bandwidth,0.00246
5511-Orange S.A.,0.00212
20080-Florida International University,0.00203
3257-GTT Communications Inc.,0.00197
206610-Pindo S.a.,0.00193
264628-The Houses Television C.A. (ConexTEL,0.00164
27807-FundaciÃ³n Centro Nacional de Inno,0.00146
61461-Airtek Solutions C.A.,0.00094
2914-NTT America Inc.,0.00091
701-MCI Communications Services Inc. d/b,0.00088
7018-AT&T Services Inc.,0.00056
19429-ETB - Colombia,0.00045
7908-BT LATAM Venezuela S.A.,0.00037
59432-GINERNET S.L.,0.00036
61317-Digital Energy Technologies Limited,0.00035
29119-ServiHosting Networks S.L.,0.00034
264844-INVERSIONES FRITZ 78 C.A.(WIFI SOLUT,0.0003
18678-INTERNEXA S.A. E.S.P,0.0003
263771-IP NET C.A.,0.00026
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00023
2828-MCI Communications Services Inc. d/b,0.00022
63023-GLOBALTELEHOST Corp.,0.0002
3223-Voxility S.R.L.,0.0002
269832-unknown,0.0002
269738-unknown,0.0002
13489-EPM Telecomunicaciones S.A. E.S.P.,0.0002
1239-Sprint,0.00018
27893-Universidad de Carabobo,0.00016
263798-UFINET COLOMBIA S. A.,0.00016
12956-Telefonica International Wholesale S,0.00015
11537-Internet2,0.00015
11014-CPS,0.00015
286-KPN B.V.,0.00014
9002-RETN Limited,0.00012
