Transit (row) / Origin (Column) ASN-ASNAME,99999-ZM
37662-West Indian Ocean Cable Company,0.62766
6939-Hurricane Electric Inc.,0.16874
30844-Liquid Telecommunications Ltd,0.08163
36944-Ubuntunet Alliance For Research and ,0.07423
20459-Telecom Namibia,0.04301
174-Cogent Communications,0.03577
9498-BHARTI Airtel Ltd.,0.02148
36962-MTN Zambia,0.01627
2914-NTT America Inc.,0.01122
3356-Level 3 Communications Inc.,0.0096
6762-TELECOM ITALIA SPARKLE S.p.A.,0.00782
33763-Internet Technologies Namibia,0.00759
3741-Internet Solutions,0.00726
6453-TATA COMMUNICATIONS (AMERICA) INC,0.00687
37287-Zain Zambia PLC,0.00589
16637-MTN SA,0.00521
6774-Belgacom International Carrier Servi,0.00351
9002-RETN Limited,0.00289
52320-GlobeNet Cabos Submarinos Colombia S,0.00289
6661-POST Luxembourg,0.00246
11537-Internet2,0.0022
3257-GTT Communications Inc.,0.00199
37379-IWAY Africa Ltd (a.k.a Multichoice A,0.00185
4809-China Telecom Next Generation Carrie,0.00165
3303-Swisscom (Switzerland) Ltd,0.00158
20764-CJSC RASCOM,0.00148
8447-A1 Telekom Austria AG,0.00146
3267-State Institute of Information Techn,0.00143
21320-GEANT Limited,0.00141
1299-Telia Company AB,0.00105
9304-Hutchison Global Communications,0.00095
8346-SONATEL-AS Autonomous System,0.00092
37271-Workonline Communications(Pty) Ltd,0.0006
3491-PCCW Global Inc.,0.00035
37084-Simbanet (T) Limited,0.00033
22388-Indiana University,0.00029
7660-Asia Pacific Advanced Network - Japa,0.00022
6461-Zayo Bandwidth,0.00022
5511-Orange S.A.,0.00016
37497-Network Platforms (PTY) LTD,0.00016
15570-InterNAP Network Services U.K. Limit,0.00015
58057-TeleMontazh Ltd.,0.00012
38195-SUPERLOOP (AUSTRALIA) PTY LTD,0.00012
8468-ENTANET International Limited,0.0001
37468-Angola Cables,0.0001
206610-Pindo S.a.,0.0001
99999-ZM,0.0
8455-Schuberg Philis B.V.,0.0
7474-Optus Vision,0.0
5713-Telkom SA Ltd.,0.0
4637-Telstra Global - Customer AS Number,0.0
37100-SEACOM Limited,0.0
33891-Core-Backbone GmbH,0.0
3320-Deutsche Telekom AG,0.0
2852-CESNET z.s.p.o.,0.0
18881-TELEFÃNICA BRASIL S.A,0.0
1853-ACONET,0.0
12859-BIT BV,0.0
1221-Telstra Managed Network Services,0.0
10429-Telefonica Data S.A.,0.0
61218-FM GROUP WORLD Artur Trawinski Sp.zo,9e-05
37154-Zambia Telecommunications Company Lt,9e-05
17819-Equinix Asia Pacific,7e-05
12956-Telefonica International Wholesale S,7e-05
30781-Jaguar Network SAS,6e-05
29075-Lost Oasis SARL,6e-05
8966-Emirates Telecommunications Corporat,5e-05
28917-LLC "TRC FIORD",4e-05
25091-IP-Max SA,4e-05
24961-myLoc managed IT AG,4e-05
202984-Chernyshov Aleksandr Aleksandrovich,4e-05
8732-OJSC Comcor,3e-05
2516-KDDI CORPORATION,3e-05
2497-Internet Initiative Japan Inc.,3e-05
13030-Init7 (Switzerland) Ltd.,3e-05
7473-Singapore Telecommunications Ltd,2e-05
6830-Liberty Global Operations B.V.,2e-05
4826-Vocus Communications,2e-05
4230-CLARO S.A.,2e-05
36996-Telecom Namibia,2e-05
36086-Telx,2e-05
286-KPN B.V.,2e-05
1836-green.ch AG,2e-05
15412-Reliance Globalcom Limited,2e-05
8758-Iway AG,1e-05
8218-Zayo France SAS,1e-05
7545-TPG Telecom Limited,1e-05
6777-Amsterdam Internet Exchange B.V.,1e-05
59689-Keyade SAS,1e-05
3549-Level 3 Communications Inc.,1e-05
29208-Dial Telecom a.s.,1e-05
2603-NORDUnet,1e-05
20485-Closed Joint Stock Company TransTele,1e-05
198385-AlpineDC SA,1e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,1e-05
16265-LeaseWeb Network B.V.,1e-05
15399-Wananchi Group (K) LTD,1e-05
136620-VMHaus Limited,1e-05
13193-Nerim SAS,1e-05
11164-Internet2,1e-05
