Transit (row) / Origin (Column) ASN-ASNAME,99999-ZW
30844-Liquid Telecommunications Ltd,0.40339
37662-West Indian Ocean Cable Company,0.22357
37204-Telone PVT Ltd,0.13304
37183-Utande Internet Services (Pvt) Ltd,0.08268
6939-Hurricane Electric Inc.,0.07347
6453-TATA COMMUNICATIONS (AMERICA) INC,0.02993
6762-TELECOM ITALIA SPARKLE S.p.A.,0.02483
37442-ZARNet Pvt Ltd,0.01771
2914-NTT America Inc.,0.01456
5511-Orange S.A.,0.0142
174-Cogent Communications,0.01327
31856-YoAfrica (Pvt) Ltd,0.01144
3356-Level 3 Communications Inc.,0.00807
4809-China Telecom Next Generation Carrie,0.00624
52320-GlobeNet Cabos Submarinos Colombia S,0.0049
9002-RETN Limited,0.00442
6661-POST Luxembourg,0.00407
9304-Hutchison Global Communications,0.0038
3491-PCCW Global Inc.,0.003
20764-CJSC RASCOM,0.00275
8447-A1 Telekom Austria AG,0.00265
3303-Swisscom (Switzerland) Ltd,0.00265
3267-State Institute of Information Techn,0.00254
21320-GEANT Limited,0.0025
1299-Telia Company AB,0.00248
9498-BHARTI Airtel Ltd.,0.00199
37468-Angola Cables,0.00198
6461-Zayo Bandwidth,0.00194
3257-GTT Communications Inc.,0.00171
37189-YoAfrica (Pvt) Ltd,0.00137
62-CyrusOne LLC,0.00067
29075-Lost Oasis SARL,0.00062
28917-LLC "TRC FIORD",0.00046
202984-Chernyshov Aleksandr Aleksandrovich,0.00046
3320-Deutsche Telekom AG,0.00045
15570-InterNAP Network Services U.K. Limit,0.00044
58057-TeleMontazh Ltd.,0.00035
6777-Amsterdam Internet Exchange B.V.,0.00034
30781-Jaguar Network SAS,0.00032
3741-Internet Solutions,0.00029
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00028
51531-DE-CIX Management GmbH,0.00024
36086-Telx,0.0002
7922-Comcast Cable Communications LLC,0.00017
701-MCI Communications Services Inc. d/b,0.00015
42-WoodyNet,0.00014
12956-Telefonica International Wholesale S,0.00014
24961-myLoc managed IT AG,0.00012
206610-Pindo S.a.,0.00012
8732-OJSC Comcor,0.00011
25091-IP-Max SA,0.00011
33891-Core-Backbone GmbH,0.0001
99999-ZW,0.0
3216-PJSC "Vimpelcom",0.0
6830-Liberty Global Operations B.V.,9e-05
286-KPN B.V.,9e-05
12389-PJSC Rostelecom,7e-05
1836-green.ch AG,6e-05
13030-Init7 (Switzerland) Ltd.,6e-05
8468-ENTANET International Limited,5e-05
20485-Closed Joint Stock Company TransTele,4e-05
4637-Telstra Global - Customer AS Number,3e-05
4230-CLARO S.A.,3e-05
35280-ACORUS NETWORKS SAS,3e-05
8758-Iway AG,2e-05
8218-Zayo France SAS,2e-05
7545-TPG Telecom Limited,2e-05
7473-Singapore Telecommunications Ltd,2e-05
2516-KDDI CORPORATION,2e-05
2497-Internet Initiative Japan Inc.,2e-05
15412-Reliance Globalcom Limited,2e-05
13193-Nerim SAS,2e-05
13101-ennit server GmbH,2e-05
29208-Dial Telecom a.s.,1e-05
2852-CESNET z.s.p.o.,1e-05
198385-AlpineDC SA,1e-05
136620-VMHaus Limited,1e-05
12859-BIT BV,1e-05
